,,Nodecasos,confirmados,,,
Region ,Poblacion ,Acumulados ,Fallecidos ,Tasa incidencia acumulada ,Tasa mortalidad acumulada ,Tasa letalidad 
Arica y Parinacota ,252110 ,318 ,5 ,126.1 ,2.0 ,1.6 
Tarapaca ,382773 ,339 ,1 ,88.6 ,0.3 ,0.3 
Antofagasta ,691854 ,855 ,7 ,123.6 ,1.0 ,0.8 
Atacama ,314709 ,80 ,0 ,25.4 ,0.0 ,0.0 
Coquimbo ,836096 ,97 ,0 ,11.6 ,0.0 ,0.0 
Valparaiso ,1960170 ,716 ,16 ,36.5 ,0.8 ,22 
Metropolitana ,8125072 ,15582 ,150 ,191.8 ,1.8 ,1.0 
O'Higgins ,991063 ,145 ,3 ,14.6 ,0.3 ,2.1 
Maule ,1131939 ,408 ,13 ,36.0 ,1.1 ,3.2 
Nuble ,511551 ,791 ,17 ,154.6 ,3.3 ,2.1 
Biobio ,1663696 ,789 ,8 ,47.4 ,0.5 ,1.0 
Araucania ,1014343 ,1362 ,36 ,134.3 ,3.5 ,2.6 
Los Rios ,405835 ,200 ,4 ,49.3 ,1.0 ,2.0 
Los Lagos ,891440 ,541 ,10 ,60.7 ,1.1 ,1.8 
Aisen ,107297 ,7 ,0 ,6.5 ,0.0 ,0.0 
Magallanes ,178362 ,818 ,11 ,458.6 ,6.2 ,1.3 
Total pais ,19458310 ,23048 ,281 ,118.4 ,1.4 ,1.2 
