Region,Poblacion,Nodecasosconfirmados,Tasaincidenciaacumulada
Arica y Parinacota ,252110 ,170 ,67.4 
Tarapaca ,382773 ,104 ,27.2 
Antofagasta ,691854 ,291 ,42.1 
Atacama ,314709 ,13 ,4.1 
Coquimbo ,836096 ,69 ,8.3 
Valparaiso ,1960170 ,403 ,20.6 
Metropolitana ,8125072 ,5788 ,71.2 
O'Higgins ,991063 ,57 ,5.8 
Maule ,1131939 ,316 ,27.9 
Nuble ,511551 ,694 ,135.7 
Biobio ,1663696 ,636 ,38.2 
Araucania ,1014343 ,1092 ,107.7 
Los Rios ,405835 ,167 ,41.1 
Los Lagos ,891440 ,432 ,48.5 
Aisen ,107297 ,7 ,6.5 
Magallanes ,178362 ,593 ,332.5 
Total pais ,19458310 ,10832 ,55.7 
