Region,Poblacion,NodecasosAcumulados,confirmadosFallecidos,Tasaincidenciaacumulada,Tasamortalidadacumulada,Tasaletalidad
Arica y Parinacota ,252110 ,239 ,3 ,94.8 ,1.2 ,1.3 
Tarapaca ,382773 ,134 ,O ,35.0 ,0.0 ,0.0 
Antofagasta ,691854 ,366 ,2 ,52.9 ,0.3 ,0.5 
Atacama ,314709 ,21 ,O ,6.7 ,0.0 ,0.0 
Coquimbo ,836096 ,72 ,O ,8.6 ,0.0 ,0.0 
Valparaiso ,1960170 ,436 ,8 ,22.2 ,0.4 ,1.8 
Metropolitana ,8125072 ,6761 ,86 ,83.2 ,1.1 ,1.3 
O'Higgins ,991063 ,81 ,1 ,8.2 ,0.1 ,1.2 
Maule ,1131939 ,349 ,10 ,30.8 ,0.9 ,2.9 
Nuble ,511551 ,715 ,14 ,139.8 ,2.7 ,2.0 
Biobio ,1663696 ,683 ,5 ,41.1 ,0.3 ,0.7 
Araucania ,1014343 ,1184 ,26 ,116.7 ,2.6 ,2.2 
Los Rios ,405835 ,174 ,3 ,42.9 ,0.7 ,1.7 
Los Lagos ,891440 ,460 ,8 ,51.6 ,0.9 ,1.7 
Aisen ,107297 ,7 ,O ,6.5 ,0.0 ,0.0 
Magallanes ,178362 ,624 ,8 ,349.9 ,4.5 ,1.3 
Total pais ,19458310 ,12306 ,174 ,63.2 ,0.9 ,1.4 
