Region,Poblacion,NodeCasosconfirmados,Tasaincidencia
Arica y Parinacota ,252110 ,115 ,45.6 
Tarapaca ,382773 ,46 ,12.0 
Antofagasta ,691854 ,138 ,19.9 
Atacama ,314709 ,13 ,4.1 
Coquimbo ,836096 ,66 ,7.9 
Valparaiso ,1960170 ,254 ,13.0 
Metropolitana ,8125072 ,3599 ,44.3 
O'Higgins ,991063 ,46 ,4.6 
Maule ,1131939 ,138 ,12.2 
Nuble ,511551 ,613 ,119.8 
Biobio ,1663696 ,500 ,30.1 
Araucania ,1014343 ,775 ,76.4 
Los Rios ,405835 ,135 ,33.3 
Los Lagos ,891440 ,372 ,41.7 
Aisen ,107297 ,7 ,6.5 
Magallanes ,178362 ,396 ,222.0 
Total pais ,19458310 ,7213 ,37.1 
