,,No,casos,
Region ,Poblacion ,Notificados ,Confirmados ,Tasa confirmados (&) 
Arica y Parinacota ,252110 ,169 ,3 ,"1,2 "
Tarapaca ,382773 ,258 ,3 ,"0,8 "
Antofagasta ,691854 ,452 ,21 ,"3,0 "
Atacama ,314709 ,128 ,1 ,"0,3 "
Coquimbo ,836096 ,340 ,14 ,"1,7 "
Valparaiso ,1960170 ,1392 ,48 ,"2,4 "
Metropolitana ,8125072 ,10337 ,903 ,"11,1 "
O'Higgins ,991063 ,392 ,12 ,"1,2 "
Maule ,1131939 ,875 ,32 ,"2,8 "
Nuble ,511551 ,970 ,114 ,"22,3 "
Biobio ,1663696 ,1350 ,81 ,"4,9 "
Araucania ,1014343 ,785 ,116 ,"11,4 "
Los Rios ,405835 ,326 ,15 ,"3,7 "
Los Lagos ,891440 ,597 ,51 ,"5,7 "
Aisen ,107297 ,32 ,2 ,"1,9 "
Magallanes ,178362 ,260 ,18 ,"10,1 "
Total pais ,19458310 ,18663 ,1434 ,"7,4 "
