Region,Poblacion,Nodecasos,confirmados,Tasaincidenciaacumulada,Tasamortalidadacumulada,Tasaletalidad
,,Acumulados ,Fallecidos ,,,
Arica y Parinacota ,252110 ,210 ,2 ,83.3 ,0.8 ,1.0 
Tarapaca ,382773 ,128 ,O ,33.4 ,0.0 ,0.0 
Antofagasta ,691854 ,340 ,2 ,49.1 ,0.3 ,0.6 
Atacama ,314709 ,18 ,O ,5.7 ,0.0 ,0.0 
Coquimbo ,836096 ,70 ,O ,8.4 ,0.0 ,0.0 
Valparaiso ,1960170 ,429 ,7 ,21.9 ,0.4 ,1.6 
Metropolitana ,8125072 ,6434 ,85 ,79.2 ,1.0 ,1.3 
O'Higgins ,991063 ,76 ,1 ,7.7 ,0.1 ,1.3 
Maule ,1131939 ,333 ,10 ,29.4 ,0.9 ,3.0 
Nuble ,511551 ,708 ,13 ,138.4 ,2.5 ,1.8 
Biobio ,1663696 ,675 ,5 ,40.6 ,0.3 ,0.7 
Araucania ,1014343 ,1142 ,26 ,112.6 ,2.6 ,2.3 
Los Rios ,405835 ,173 ,3 ,42.6 ,0.7 ,1.7 
Los Lagos ,891440 ,454 ,7 ,50.9 ,0.8 ,1.5 
Aisen ,107297 ,7 ,O ,6.5 ,0.0 ,0.0 
Magallanes ,178362 ,615 ,7 ,344.8 ,3.9 ,1.1 
Total pais ,19458310 ,11812 ,168 ,,,1.4 
