,,No,casos,
Region ,Poblacion ,Notificados ,Confirmados ,Tasa incidencia & 
Arica y Parinacota ,252110 ,318 ,6 ,"2,4 "
Tarapaca ,382773 ,325 ,6 ,"1,6 "
Antofagasta ,691854 ,815 ,40 ,"5,8 "
Atacama ,314709 ,197 ,3 ,"1,0 "
Coquimbo ,836096 ,503 ,33 ,"3,9 "
Valparaiso ,1960170 ,2340 ,120 ,"6,1 "
Metropolitana ,8125072 ,17567 ,1518 ,"18,7 "
O'Higgins ,991063 ,619 ,21 ,"2,1 "
Maule ,1131939 ,1431 ,74 ,"6,5 "
Nuble ,511551 ,1380 ,260 ,"50,8 "
Biobio ,1663696 ,2450 ,131 ,"7,9 "
Araucania ,1014343 ,1416 ,273 ,"26,9 "
Los Rios ,405835 ,669 ,30 ,"7,4 "
LOs Lagos ,891440 ,1036 ,155 ,"17,4 "
Aisen ,107297 ,37 ,3 ,"2,8 "
Magallanes ,178362 ,535 ,71 ,"39,8 "
Total pais ,19458310 ,31638 ,2744 ,"14,1 "
