,,No,casos,
Region ,Poblacion ,Notificados ,Confirmados ,Tasa incidencia & 
Arica y Parinacota ,252110 ,284 ,6 ,"2,4 "
Tarapaca ,382773 ,313 ,6 ,"1,6 "
Antofagasta ,691854 ,723 ,35 ,"5,1 "
Atacama ,314709 ,174 ,2 ,"0,6 "
Coquimbo ,836096 ,470 ,28 ,"3,3 "
Valparaiso ,1960170 ,2139 ,109 ,"5,6 "
Metropolitana ,8125072 ,16187 ,1352 ,"16,6 "
O'Higgins ,991063 ,545 ,18 ,"1,8 "
Maule ,1131939 ,1321 ,62 ,"5,5 "
Nuble ,511551 ,1226 ,202 ,"39,5 "
Biobio ,1663696 ,2207 ,117 ,"7,0 "
Araucania ,1014343 ,1226 ,247 ,"24,4 "
Los Rios ,405835 ,587 ,17 ,"4,2 "
LOs Lagos ,891440 ,917 ,127 ,"14,2 "
Aisen ,107297 ,36 ,2 ,"1,9 "
Magallanes ,178362 ,475 ,43 ,"24,1 "
Total pais ,19458310 ,28830 ,2373 ,"12,2 "
