,,No,casos,
Region ,Poblacion ,Notificados ,Confirmados ,Tasa confirmados (&) 
Arica y Parinacota ,252110 ,224 ,4 ,1.6 
Tarapaca ,382773 ,299 ,4 ,1.0 
Antofagasta ,691854 ,573 ,27 ,3.9 
Atacama ,314709 ,154 ,2 ,0.6 
Coquimbo ,836096 ,392 ,18 ,2.2 
Valparaiso ,1960170 ,1735 ,76 ,3.9 
Metropolitana ,8125072 ,13317 ,1134 ,14.0 
O'Higgins ,991063 ,469 ,15 ,1.5 
Maule ,1131939 ,1122 ,45 ,4.0 
Nuble ,511551 ,1114 ,164 ,32.1 
Biobio ,1663696 ,1806 ,92 ,5.5 
Araucania ,1014343 ,1021 ,179 ,17.6 
LOs Rios ,405835 ,456 ,15 ,3.7 
LOs Lagos ,891440 ,757 ,94 ,10.5 
Aisen ,107297 ,35 ,2 ,1.9 
Magallanes ,178362 ,375 ,35 ,19.6 
