,,No,casos,
Region ,Poblacion ,Notificados ,Confirmados ,Tasa confirmados (&) 
Arica y Parinacota ,252110 ,140 ,2 ,"0,8 "
Tarapaca ,382773 ,230 ,3 ,"0,8 "
Antofagasta ,691854 ,373 ,21 ,"3,0 "
Atacama ,314709 ,117 ,1 ,"0,3 "
Coquimbo ,836096 ,290 ,13 ,"1,6 "
Valparaiso ,1960170 ,1196 ,41 ,"2,1 "
Metropolitana ,8125072 ,8451 ,783 ,"9,6 "
O'Higgins ,991063 ,339 ,11 ,"1,1 "
Maule ,1131939 ,762 ,31 ,"2,7 "
Nuble ,511551 ,888 ,106 ,"20,7 "
Biobio ,1663696 ,1123 ,73 ,"4,4 "
Araucania ,1014343 ,662 ,95 ,"9,4 "
LOs Rios ,405835 ,264 ,9 ,"2,2 "
Los Lagos ,891440 ,519 ,45 ,"5,0 "
Aisen ,107297 ,28 ,2 ,"1,9 "
Magallanes ,178362 ,221 ,16 ,"9,0 "
Total pais ,19458310 ,15603 ,1252 ,"6,4 "
