Region,Poblacion,NodeCasosconfirmados,Tasaincidencia
Arica y Parinacota ,252110 ,87 ,34.5 
Tarapaca ,382773 ,35 ,9.1 
Antofagasta ,691854 ,110 ,15.9 
Atacama ,314709 ,13 ,4.1 
Coquimbo ,836096 ,61 ,7.3 
Valparaiso ,1960170 ,241 ,12.3 
Metropolitana ,8125072 ,3193 ,39.3 
O'Higgins ,991063 ,44 ,4.4 
Maule ,1131939 ,131 ,11.6 
Nuble ,511551 ,589 ,115.1 
Biobio ,1663696 ,474 ,28.5 
Araucania ,1014343 ,712 ,70.2 
Los Rios ,405835 ,124 ,30.6 
LOs Lagos ,891440 ,349 ,39.2 
Aisen ,107297 ,7 ,6.5 
Magallanes ,178362 ,331 ,185.6 
Total pais ,19458310 ,6501 ,33.4 
