Region,Poblacion,NodeCasosconfirmados,Tasaincidencia
Arica y Parinacota ,252110 ,63 ,"25,0 "
Tarapaca ,382773 ,26 ,"6,8 "
Antofagasta ,691854 ,77 ,"11,1 "
Atacama ,314709 ,8 ,"2,5 "
Coquimbo ,836096 ,56 ,"6,7 "
Valparaiso ,1960170 ,225 ,"11,5 "
Metropolitana ,8125072 ,2548 ,"31,4 "
O'Higgins ,991063 ,43 ,"4,3 "
Maule ,1131939 ,119 ,"10,5 "
Nuble ,511551 ,561 ,"109,7 "
Biobio ,1663696 ,439 ,"26,4 "
Araucania ,1014343 ,669 ,"66,0 "
LOs Rios ,405835 ,114 ,"28,1 "
Los Lagos ,891440 ,325 ,"36,5 "
Aisen ,107297 ,7 ,"6,5 "
Magallanes ,178362 ,266 ,"149,1 "
Tota pais ,19458310 ,5546 ,"28,5 "
