Region,Poblacion,NodeCasosconfirmados,Tasaincidencia
Arica y Parinacota ,252110 ,53 ,21.0 
Tarapaca ,382773 ,23 ,6.0 
Antofagasta ,691854 ,69 ,10.0 
Atacama ,314709 ,6 ,1.9 
Coquimbo ,836096 ,52 ,6.2 
Valparaiso ,1960170 ,214 ,10.9 
Metropolitana ,8125072 ,2350 ,28.9 
O'Higgins ,991063 ,42 ,4.2 
Maule ,1131939 ,108 ,9.5 
Nuble ,511551 ,522 ,102.0 
Biobio ,1663696 ,410 ,24.6 
Araucania ,1014343 ,612 ,60.3 
Los Rios ,405835 ,109 ,26.9 
Los Lagos ,891440 ,299 ,33.5 
Aisen ,107297 ,7 ,6.5 
Magallanes ,178362 ,240 ,134.6 
Tota pais ,19458310 ,5116 ,26.3 
