,,No,casos,
Region ,Poblacion ,Notificados ,Confirmados ,Tasa confirmados (&) 
Arica y Parinacota ,252110 ,214 ,5 ,"2,0 "
Tarapaca ,382773 ,276 ,4 ,"1,0 "
Antofagasta ,691854 ,532 ,25 ,"3,6 "
Atacama ,314709 ,144 ,1 ,"0,3 "
Coquimbo ,836096 ,375 ,15 ,"1,8 "
Valparaiso ,1960170 ,1610 ,72 ,"3,7 "
Metropolitana ,8125072 ,12244 ,1038 ,"12,8 "
O'Higgins ,991063 ,443 ,13 ,"1,3 "
Maule ,1131939 ,1060 ,41 ,"3,6 "
Nuble ,511551 ,1021 ,143 ,"28,0 "
Biobio ,1663696 ,1616 ,89 ,"5,3 "
Araucania ,1014343 ,945 ,160 ,"15,8 "
Los Rios ,405835 ,383 ,15 ,"3,7 "
Los Lagos ,891440 ,700 ,77 ,"8,6 "
Aisen ,107297 ,35 ,2 ,"1,9 "
Magallanes ,178362 ,307 ,23 ,"12,9 "
Tota pais ,19458310 ,21905 ,1723 ,"8,9 "
