Region,Poblacion,NodeCasosconfirmados,Tasaincidencia&
Arica y Parinacota ,252110 ,12 ,4.8 
Tarapaca ,382773 ,13 ,3.4 
Antofagasta ,691854 ,54 ,7.8 
Atacama ,314709 ,5 ,1.6 
Coquimbo ,836096 ,35 ,4.2 
Valparaiso ,1960170 ,176 ,9.0 
Metropolitana ,8125072 ,1742 ,21.4 
O'Higgins ,991063 ,33 ,3.3 
Maule ,1131939 ,89 ,7.9 
Nuble ,511551 ,370 ,72.3 
Biobio ,1663696 ,302 ,18.2 
Araucania ,1014343 ,432 ,42.6 
Los Rios ,405835 ,78 ,19.2 
Los Lagos ,891440 ,234 ,26.2 
Aisen ,107297 ,6 ,5.6 
Magallanes ,178362 ,156 ,87.5 
Tota pais ,19458310 ,3737 ,19.2 
