SagradaFamilia,19469,126,647.2,10,51.4,10,51.4
San Clemente ,46292 ,633 ,1367.4 ,43 ,92.9 ,43 ,92.9 
San Javier ,49451 ,546 ,1104.1 ,21 ,42.5 ,21 ,42.5 
San Rafael ,9959 ,174 ,1747.2 ,31 ,311.3 ,31 ,311.3 
Talca ,& 236724 ,2434 ,1028.2 ,225 ,95.0 ,225 ,95.0 
Teno ,30850 ,333 ,1079.4 ,25 ,81.0 ,24 ,77.8 
Vichuquen ,4381 ,6 ,137.0 ,0 ,0.0 ,O ,0.0 
Villa Alegre ,17512 ,170 ,970.8 ,17 ,97.1 ,16 ,91.4 
Yerbas Buenas ,19200 ,178 ,927.1 ,22 ,114.6 ,22 ,114.6 
Desconocido ,& - ,4 ,- ,1 ,- ,1 ,- 
Total ,1131939 ,11936 ,1054.5 ,887 ,78.4 ,880 ,77.7 
