Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Andacollo ,& ,11791 ,45 ,381.6 ,1 ,8.5 ,1 ,8.5 ,1 ,8.5 
Canela ,& ,9546 ,20 ,209.5 ,1 ,10.5 ,2 ,21.0 ,2 ,21.0 
Combarbala ,,13884 ,31 ,223.3 ,O ,0.0 ,1 ,7.2 ,1 ,7.2 
Coquimbo ,& ,256735 ,1608 ,626.3 ,10 ,3.9 ,326 ,127.0 ,325 ,126.6 
Illape ,,32801 ,222 ,676.8 ,1 ,3.0 ,54 ,164.6 ,53 ,161.6 
La Higuera ,,4450 ,13 ,292.1 ,O ,0.0 ,6 ,134.8 ,6 ,134.8 
La Serena ,& ,249656 ,1447 ,579.6 ,14 ,5.6 ,345 ,138.2 ,344 ,137.8 
Los Vilos ,,23374 ,77 ,329.4 ,1 ,4.3 ,9 ,38.5 ,9 ,38.5 
Monte Patria ,,32527 ,238 ,731.7 ,3 ,9.2 ,22 ,67.6 ,22 ,67.6 
Ovalle ,& ,121269 ,1065 ,878.2 ,18 ,14.8 ,94 ,77.5 ,93 ,76.7 
Paiguano ,,4675 ,8 ,171.1 ,O ,0.0 ,1 ,21.4 ,1 ,21.4 
Punitaqui ,,12165 ,64 ,526.1 ,3 ,24.7 ,10 ,82.2 ,10 ,82.2 
Rio Hurtado ,,4372 ,22 ,503.2 ,O ,0.0 ,2 ,45.7 ,2 ,45.7 
Salamanca ,,29110 ,73 ,250.8 ,O ,0.0 ,8 ,27.5 ,8 ,27.5 
Vicuna ,& ,29741 ,61 ,205.1 ,O ,0.0 ,15 ,50.4 ,15 ,50.4 
Desconocido ,& ,- ,143 ,- ,O ,- ,30 ,- ,30 ,- 
Total ,,836096 ,5137 ,614.4 ,52 ,6.2 ,926 ,110.8 ,922 ,110.3 
