Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Corral ,5447 ,26 ,477.3 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Futrono ,15261 ,61 ,399.7 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 
La Union ,39538 ,98 ,247.9 ,3 ,7.6 ,11 ,27.8 ,11 ,27.8 
Lago Ranco ,10292 ,7 ,68.0 ,O ,0.0 ,0 ,0.0 ,O ,0.0 
Lanco ,17652 ,28 ,158.6 ,O ,0.0 ,1 ,5.7 ,1 ,5.7 
Los Lagos ,20518 ,63 ,307.0 ,1 ,4.9 ,O ,0.0 ,O ,0.0 
Mafil ,7389 ,20 ,270.7 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Mariquina ,23250 ,33 ,141.9 ,0 ,0.0 ,13 ,55.9 ,13 ,55.9 
Paillaco ,20798 ,33 ,158.7 ,1 ,4.8 ,1 ,4.8 ,1 ,4.8 
Panguipulli ,35991 ,65 ,180.6 ,1 ,2.8 ,8 ,22.2 ,8 ,22.2 
Rio Bueno ,32925 ,29 ,88.1 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Valdivia ,176774 ,401 ,226.8 ,6 ,3.4 ,67 ,37.9 ,67 ,37.9 
Desconocido ,- ,6 ,- ,O ,- ,O ,- ,0 ,- 
Total ,405835 ,870 ,214.4 ,12 ,3.0 ,101 ,24.9 ,101 ,24.9 
