Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Algarrobo ,,15174 ,110 ,724.9 ,7 ,46.1 ,O ,0.0 ,0 ,0.0 
Cabildo ,& ,20663 ,281 ,1359.9 ,18 ,87.1 ,5 ,24.2 ,5 ,24.2 
Calera ,& ,53591 ,760 ,1418.1 ,17 ,31.7 ,83 ,154.9 ,82 ,153.0 
Calle Larga ,& ,16482 ,240 ,1456.1 ,2 ,12.1 ,11 ,66.7 ,11 ,66.7 
Cartagena ,& ,25357 ,189 ,745.4 ,3 ,11.8 ,13 ,51.3 ,13 ,51.3 
Casablanca ,& ,29170 ,219 ,750.8 ,2 ,6.9 ,30 ,102.8 ,29 ,99.4 
Catemu ,,15213 ,134 ,880.8 ,3 ,19.7 ,24 ,157.8 ,24 ,157.8 
Con Con ,,45889 ,501 ,1091.8 ,8 ,17.4 ,21 ,45.8 ,21 ,45.8 
EI Quisco ,& ,17742 ,177 ,997.6 ,3 ,16.9 ,12 ,67.6 ,12 ,67.6 
EI Tabo ,& ,14338 ,225 ,1569.3 ,11 ,76.7 ,22 ,153.4 ,20 ,139.5 
Hijuelas ,,19099 ,203 ,1062.9 ,5 ,26.2 ,25 ,130.9 ,24 ,125.7 
Isla de Pascua ,,8277 ,5 ,60.4 ,0 ,0.0 ,O ,0.0 ,O ,0.0 
Juan Fernandez ,,1033 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 
La Cruz ,& ,25321 ,209 ,825.4 ,2 ,7.9 ,35 ,138.2 ,35 ,138.2 
La Ligua ,& ,37739 ,379 ,1004.3 ,11 ,29.1 ,38 ,100.7 ,38 ,100.7 
Limache ,& ,49931 ,767 ,1536.1 ,18 ,36.0 ,41 ,82.1 ,41 ,82.1 
Llaillay ,,26533 ,336 ,1266.3 ,6 ,22.6 ,28 ,105.5 ,28 ,105.5 
Los Andes ,,68093 ,1002 ,1471.5 ,39 ,57.3 ,54 ,79.3 ,54 ,79.3 
Nogales ,& ,23490 ,201 ,855.7 ,2 ,8.5 ,32 ,136.2 ,32 ,136.2 
Olmue ,& ,19266 ,159 ,825.3 ,3 ,15.6 ,20 ,103.8 ,19 ,98.6 
Panquehue ,& ,7633 ,117 ,1532.8 ,0 ,0.0 ,9 ,117.9 ,9 ,117.9 
