RegionMetropolitana,,,,,,,,91.0
II Antofagasta ,,,,,,74.2 ,,
ITarapaca ,,,,53.3 ,,,,
Pais ,,,,481 ,,,,
XV Arica y Parinacota ,,,385 ,,,,,
VI O'Higgins ,,291 ,,,,,,
V Valparaiso ,,28.9 ,,,,,,
XII Magallanes y la A ,23.1 ,,,,,,,
VII Maule ,201 ,,,,,,,
III Atacama ,186 ,,,,,,,
IV Coquimbo ,130 ,,,,,,,
VIII Del Biobio ,120 ,,,,,,,
XV De Nuble ,115 ,,,,,,,
IX Araucania ,11.1 ,,,,,,,
X Los Lagos ,8.9 ,,,,,,,
XIV Los Rios ,46 ,,,,,,,
XI Aysen ,X 35 ,,,,,,,
