Panquehue,7633,1,13.1,1,13.1,1,13.1,0000,0OO0O,O10O
Papudo ,6201 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 0 O ,O O 0 0 0 ,O 0 0 O 
Petorca ,10558 ,7 ,66.3 ,1 ,9.5 ,1 ,9.5 ,0 0 O 1 ,4 1 0 0 O ,O 1 0 O 
Puchuncavi ,20071 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 O O ,O 0 O O 0 ,O O 0 O 
Putaendo ,17645 ,15 ,85.0 ,5 ,28.3 ,5 ,28.3 ,0 0 O 1 ,0 0 1 3 2 ,2 3 3 O 
Quillota ,97572 ,48 ,49.2 ,18 ,18.4 ,18 ,18.4 ,0 1 O 3 ,7 3 6 1 5 ,3 14 5 O 
Quilpue& ,167085 ,104 ,62.2 ,41 ,24.5 ,41 ,24.5 ,0 1 3 3 ,9 6 4 5 11 ,18 35 9 O 
Quintero8 ,36135 ,29 ,80.3 ,15 ,41.5 ,15 ,41.5 ,O 0 O 3 ,1 O O 5 2 ,2 13 3 0 
Rinconada ,11263 ,5 ,44.4 ,2 ,17.8 ,2 ,17.8 ,0 0 0 O ,0 3 0 0 0 ,O 0 2 0 
San Antonio& ,96761 ,225 ,232.5 ,70 ,72.3 ,69 ,71.3 ,0 0 O 0 ,5 14 10 22 36 ,64 48 26 O 
San Esteban ,20643 ,11 ,53.3 ,3 ,14.5 ,3 ,14.5 ,0 0 0 0 ,0 0 O 1 2 ,2 5 1 0 
San Felipe ,83494 ,37 ,44.3 ,23 ,27.5 ,23 ,27.5 ,0 0 0 3 ,2 2 O 0 2 ,4 13 11 0 
Santa Maria ,16367 ,20 ,122.2 ,1 ,6.1 ,1 ,6.1 ,0 0 O O ,2 O O 1 5 ,11 1 0 O 
Santo Domingo ,11934 ,33 ,276.5 ,6 ,50.3 ,6 ,50.3 ,0 0 2 1 ,O 6 4 4 4 ,4 4 4 O 
Valparaiso& ,315732 ,300 ,95.0 ,112 ,35.5 ,105 ,33.3 ,0 1 2 10 ,15 12 17 14 28 ,77 90 34 0 
Villa Alemana& ,139310 ,77 ,55.3 ,28 ,20.1 ,28 ,20.1 ,0 0 1 7 ,3 3 O 1 6 ,23 22 11 0 
Vina del Mar& ,361371 ,327 ,90.5 ,124 ,34.3 ,122 ,33.8 ,0 1 6 21 ,27 21 12 18 20 ,66 99 36 O 
Zapallar ,7994 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,O O 0 0 O ,O 0 0 O 
,,,,,,,,,,
