A,,,,B,,,,
Puente Alto ,,,,Punta Arenas ,,,,
Santiago ,,,,Arica ,,,,
Maipu ,,,,Antofagasta ,,,,
La Florida ,,,,Puente Alto ,,,,
Penalolen ,,,,Copiapo ,,,,
San Bernardo ,,,,Coquimbo ,,,,
La Pintana ,,,,Concepcion ,,,,
Pudahuel ,,,,Vina del Mar ,,,,
Antofagasta ,,,,Valparaiso ,,,,
Quilicura ,,,,Iquique ,,,,
Renca ,,,,Rancagua ,,,,
Recoleta ,,,,Puerto Montt ,,,,
La Granja ,,,,Talcahuano ,,,,
Calama ,,,,Ovalle ,,,,
Cerro Navia ,,,,Maipu ,,,,
Independencia ,,,,La Serena ,,,,
EI Bosque ,,,,Alto Hospicio ,,,,
Arica ,,,,Chillan ,,,,
Rancagua ,,,,Renca ,,,,
Conchali ,,,,La Pintana ,,,,
Estacion Central ,,,,Talca ,,,,
Quinta Normal ,,,,La Florida ,,,,
Las Condes ,,,,San Bernardo ,,,,
Iquique ,,,,Calama ,,,,
Nufoa ,,,,Pudahuel ,,,,
San Miguel ,,,,Hualpen ,,,,
Valparaiso ,,,,Chiguayante ,,,,
San Joaquin ,,,,Penalolen ,,,,
Macul ,,,,Quilicura ,,,,
Lo Prado ,,,,Santiago ,,,,
,0 5000 10000 ,15000 ,20000 2500 ,,0 200 ,,400 ,600 
