Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Angol ,& ,56058 ,495 ,883.0 ,10 ,17.8 ,35 ,62.4 ,35 ,62.4 
Carahue ,,25486 ,105 ,412.0 ,O ,0.0 ,14 ,54.9 ,14 ,54.9 
Cholchol ,,12341 ,39 ,316.0 ,0 ,0.0 ,3 ,24.3 ,3 ,24.3 
Collipulli ,,26148 ,76 ,290.7 ,3 ,11.5 ,8 ,30.6 ,8 ,30.6 
Cunco ,& ,18055 ,87 ,481.9 ,2 ,11.1 ,4 ,22.2 ,4 ,22.2 
Curacautin ,& ,18178 ,34 ,187.0 ,1 ,5.5 ,4 ,22.0 ,4 ,22.0 
Curarrehue ,,7802 ,4 ,51.3 ,1 ,12.8 ,0 ,0.0 ,O ,0.0 
Ercilla ,,8458 ,55 ,650.3 ,1 ,11.8 ,19 ,224.6 ,19 ,224.6 
Freire ,& ,25446 ,123 ,483.4 ,1 ,3.9 ,5 ,19.6 ,5 ,19.6 
Galvarino ,,12633 ,135 ,1068.6 ,0 ,0.0 ,2 ,15.8 ,2 ,15.8 
Gorbea ,,15148 ,39 ,257.5 ,1 ,6.6 ,1 ,6.6 ,1 ,6.6 
Lautaro ,& ,40746 ,171 ,419.7 ,3 ,7.4 ,22 ,54.0 ,22 ,54.0 
Loncoche ,,24739 ,83 ,335.5 ,1 ,4.0 ,1 ,4.0 ,1 ,4.0 
Lonquimay ,,11049 ,71 ,642.6 ,2 ,18.1 ,0 ,0.0 ,0 ,0.0 
Los Sauces ,,7517 ,54 ,718.4 ,0 ,0.0 ,30 ,399.1 ,30 ,399.1 
Lumaco ,,10050 ,42 ,417.9 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Melipeuco ,,6265 ,11 ,175.6 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 
Nueva Imperia ,,33777 ,134 ,396.7 ,3 ,8.9 ,3 ,8.9 ,3 ,8.9 
Padre Las Casas ,,82110 ,227 ,276.5 ,5 ,6.1 ,11 ,13.4 ,11 ,13.4 
Perquenco ,& ,7223 ,44 ,609.2 ,0 ,0.0 ,O ,0.0 ,O ,0.0 
Pitrufquen ,,26096 ,103 ,394.7 ,0 ,0.0 ,5 ,19.2 ,5 ,19.2 
