Comuna,Poblacion,Confirmados,Tasadeincidencia
Alhue ,7405 ,- ,0.0 
Buin ,109641 ,14 ,12.8 
Calera de Tango ,28525 ,7 ,24.5 
Cerrillos ,88956 ,4 ,4.5 
Cerro Navia ,142465 ,26 ,18.3 
Colina ,180353 ,47 ,26.1 
Conchali ,139195 ,22 ,15.8 
Curacavi ,36430 ,5 ,13.7 
EI Bosque ,172000 ,35 ,20.3 
EI Monte ,40014 ,- ,5.0 
Estacion Central ,206792 ,25 ,12.1 
Huechuraba ,112528 ,22 ,19.6 
Independencia ,142065 ,22 ,15.5 
Isla de Maipo ,40171 ,- ,2.5 
La Cisterna ,100434 ,12 ,11.9 
La Florida ,402433 ,67 ,16.6 
La Granja ,122557 ,16 ,13.1 
La Pintana ,189335 ,13 ,6.9 
La Reina ,100252 ,30 ,29.9 
Lampa ,126898 ,13 ,10.2 
Las Condes ,330759 ,224 ,67.7 
Lo Barnechea ,124076 ,85 ,68.5 
Lo Espejo ,103865 ,9 ,8.7 
Lo Prado ,104403 ,20 ,19.2 
Macul ,134635 ,23 ,17.1 
Maipu ,578605 ,64 ,11.1 
Maria Pinto ,14926 ,- ,0.0 
Melipilla ,141612 ,9 ,6.4 
Nunoa ,250192 ,93 ,37.2 
Padre Hurtado ,74188 ,14 ,18.9 
Paine ,82766 ,- ,3.6 
Pedro Aguirre Cerda ,107803 ,13 ,12.1 
Penaflor ,101058 ,13 ,12.9 
Penalolen ,266798 ,54 ,20.2 
