&,21477,9,41.9,2,9.3,2,9.3,00,0,2,1,2,1,1,2,0
Vitacura & ,96774 ,152 ,157.1 ,23 ,23.8 ,23 ,23.8 ,1 7 ,30 ,45 ,27 ,13 ,5 ,5 ,12 ,7 
,8125072 ,10491 ,129.1 ,4123 ,50.7 ,4107 ,50.5 ,9 43 ,320 ,930 ,998 ,1182 ,1496 ,2028 ,2748 ,737 
