16170,181,1119.4,2,12.4,69,426.7,69,426.7,OO01,2001000O8,12,2023,3650,19
19469 ,55 ,282.5 ,0 ,0.0 ,13 ,66.8 ,13 ,66.8 ,0 0 0 O ,0 1 0 1 O 1 1 0 ,3 ,7 17 ,11 10 ,3 
46292 ,251 ,542.2 ,4 ,8.6 ,91 ,196.6 ,91 ,196.6 ,0 1 0 O ,0 1 2 7 1 8 6 14 ,18 ,20 38 ,44 63 ,28 
49451 ,215 ,434.8 ,1 ,2.0 ,46 ,93.0 ,45 ,91.0 ,0 O 0 1 ,2 7 4 7 4 3 7 8 ,9 ,22 51 ,44 34 ,12 
9959 ,98 ,984.0 ,0 ,0.0 ,20 ,200.8 ,20 ,200.8 ,O 0 0 O ,1 0 1 1 0 0 5 10 ,28 ,7 18 ,7 10 ,10 
236724 ,1154 ,487.5 ,9 ,3.8 ,373 ,157.6 ,372 ,157.1 ,O 4 9 13 ,19 11 16 74 17 12 22 53 ,73 ,84 164 ,210 261 ,112 
30850 ,109 ,353.3 ,3 ,9.7 ,41 ,132.9 ,41 ,132.9 ,0 0 0 1 ,0 0 1 1 1 3 3 3 ,4 ,7 11 ,33 31 ,10 
4381 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 0 0 0 0 0 0 0 ,0 ,0 0 ,0 O ,O 
17512 ,50 ,285.5 ,1 ,5.7 ,9 ,51.4 ,9 ,51.4 ,0 0 0 0 ,0 0 1 1 0 0 1 2 ,0 ,9 17 ,10 8 ,1 
19200 ,90 ,468.8 ,3 ,15.6 ,9 ,46.9 ,9 ,46.9 ,0 0 0 O ,O 0 1 0 2 0 5 9 ,12 ,23 13 ,16 7 ,2 
- ,50 ,- ,0 ,- ,30 ,- ,30 ,- ,0 0 0 1 ,0 0 O 0 1 0 0 1 ,0 ,4 6 ,7 12 ,18 
1131939 ,5730 ,506.2 ,50 ,4.4 ,1596 ,141.0 ,1593 ,140.7 ,2 6 11 29 ,51 48 66 167 50 52 120 248 ,488 ,736 969 ,1091 1156 ,440 
