,SESE,SESESE,SE,SESE,SESESESESE,SE,SE,SE,SE,SE,SE,SE,SESE,SE,SE,SE,SESESE
Comuna ,9 10 ,11 12 13 ,14 ,15 16 ,17 18 19 20 21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 30 ,31 ,32 ,33 ,34 35 36 
Alto Biobio ,0 O ,O 0 O ,0 ,0 O ,O O O 7 43 ,51 ,27 ,11 ,10 ,2 ,7 ,11 ,2 1 ,2 ,2 ,1 ,O 1 O 
Antuco ,& 0 0 ,0 0 O ,0 ,0 O ,0 O 2 2 2 ,13 ,2 ,6 ,14 ,4 ,5 ,5 ,1 7 ,0 ,1 ,1 ,O O O 
Arauco ,0 O ,1 2 2 ,1 ,0 0 ,0 5 4 14 17 ,24 ,22 ,34 ,65 ,62 ,29 ,13 ,33 44 ,46 ,34 ,46 ,55 5 O 
Cabrero ,0 0 ,O 1 0 ,4 ,3 7 ,1 3 4 2 3 ,3 ,8 ,24 ,35 ,14 ,11 ,11 ,11 1 ,13 ,6 ,11 ,15 6 O 
Canete ,& O O ,O O O ,O ,O O ,0 O O 1 9 ,4 ,7 ,1 ,7 ,4 ,3 ,12 ,34 38 ,16 ,21 ,33 ,36 1 O 
Chiguayante ,& 0 0 ,5 5 9 ,16 ,12 10 ,13 8 8 9 9 ,27 ,40 ,59 ,52 ,51 ,61 ,72 ,64 70 ,58 ,98 ,115 ,134 38 O 
Concepcion ,& 1 1 ,7 28 31 ,24 ,23 18 ,16 20 19 21 92 ,97 ,136 ,250 ,249 ,168 ,130 ,137 ,157 146 ,156 ,241 ,266 ,328 117 0 
Contulmo ,0 O ,O 0 O ,O ,0 O ,O O O 0 1 ,1 ,O ,0 ,11 ,27 ,3 ,0 ,2 1 ,O ,2 ,4 ,4 O O 
Coronel ,& 0 0 ,1 6 7 ,4 ,1 O ,5 2 13 16 50 ,128 ,111 ,157 ,225 ,170 ,152 ,101 ,114 117 ,128 ,153 ,144 ,115 39 O 
Curanilahue ,0 O ,O 1 O ,0 ,0 O ,O 1 3 O 2 ,4 ,12 ,9 ,17 ,19 ,25 ,46 ,37 23 ,11 ,21 ,7 ,21 8 O 
Florida ,0 O ,O 0 2 ,1 ,0 O ,0 0 2 0 2 ,O ,0 ,7 ,7 ,11 ,2 ,4 ,6 16 ,4 ,4 ,11 ,10 4 0 
