Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Andacollo ,11791 ,85 ,720.9 ,18 ,152.7 ,18 ,152.7 
Canela ,9546 ,71 ,743.8 ,28 ,293.3 ,28 ,293.3 
Combarbala ,13884 ,65 ,468.2 ,17 ,122.4 ,17 ,122.4 
Coquimbo ,& 256735 ,3854 ,1501.2 ,482 ,187.7 ,482 ,187.7 
Illape ,32801 ,398 ,1213.4 ,36 ,109.8 ,36 ,109.8 
La Higuera ,4450 ,98 ,2202.2 ,5 ,112.4 ,5 ,112.4 
La Serena ,& 249656 ,3084 ,1235.3 ,254 ,101.7 ,254 ,101.7 
LOs Vilos ,23374 ,224 ,958.3 ,40 ,171.1 ,39 ,166.9 
Monte Patria ,32527 ,399 ,1226.7 ,61 ,187.5 ,61 ,187.5 
Ovalle ,& 121269 ,1995 ,1645.1 ,301 ,248.2 ,301 ,248.2 
Paiguano ,4675 ,17 ,363.6 ,2 ,42.8 ,2 ,42.8 
Punitaqui ,12165 ,141 ,1159.1 ,24 ,197.3 ,24 ,197.3 
Rio Hurtado ,4372 ,41 ,937.8 ,1 ,22.9 ,1 ,22.9 
Salamanca ,29110 ,187 ,642.4 ,11 ,37.8 ,11 ,37.8 
Vicuna ,29741 ,196 ,659.0 ,17 ,57.2 ,17 ,57.2 
Desconocido ,& - ,141 ,- ,4 ,- ,4 ,- 
Total ,836096 ,10996 ,1315.2 ,1301 ,155.6 ,1300 ,155.5 
