Regionderesidencia,Defunciones,Tasaobservada,Tasaajustada
Chile ,11227 ,57.7 ,36.2 
De Arica Y Parinacota ,51 ,20.2 ,13.8 
De Tarapaca ,155 ,40.5 ,35.1 
De Antofagasta ,357 ,51.6 ,47.0 
De Atacama ,27 ,8.6 ,6.0 
De Coquimbo ,82 ,9.8 ,5.5 
De Valparaiso ,682 ,34.8 ,18.8 
Metropolitana de Santiago ,8595 ,105.8 ,72.1 
Del Libertador Gral Bernardo O Higgins ,254 ,25.6 ,15.4 
Del Maule ,282 ,24.9 ,14.2 
De Nuble ,87 ,17.0 ,8.6 
Del Biobio ,225 ,13.5 ,8.1 
De La Araucania ,191 ,18.8 ,10.3 
De Los Rios ,59 ,14.5 ,7.5 
De Los Lagos ,104 ,11.7 ,7.3 
De Aisen Del Gral C Ibanez Del Campo ,5 ,4.7 ,3.5 
De Magallanes y de La Antartica Chilena ,69 ,38.7 ,22.9 
Ignorada ,2 ,- ,
