Olivar&,14624,30,205.1,1,6.8,0,0.0,0,0.0,OO00,12,21,0,08,311,20,0
Palmilla ,13299 ,6 ,45.1 ,0 ,0.0 ,2 ,15.0 ,2 ,15.0 ,O O 0 0 ,O 0 ,0 0 ,O ,0 O ,2 2 ,0 2 ,O 
Paredones ,6349 ,4 ,63.0 ,0 ,0.0 ,1 ,15.8 ,1 ,15.8 ,O 0 0 0 ,0 O ,0 O ,O ,0 0 ,2 0 ,1 1 ,O 
Peralillo& ,11848 ,21 ,177.2 ,O ,0.0 ,8 ,67.5 ,8 ,67.5 ,O O O O ,O O ,0 O ,O ,0 O ,2 7 ,7 4 ,1 
Peumo& ,14952 ,9 ,60.2 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,1 O ,0 O ,O ,2 2 ,2 2 ,0 0 ,O 
Pichidegua& ,20743 ,15 ,72.3 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 0 ,0 O ,O ,1 3 ,8 2 ,1 0 ,O 
Pichilemu ,17882 ,15 ,83.9 ,O ,0.0 ,2 ,11.2 ,2 ,11.2 ,O 0 0 O ,O O ,0 O ,O ,2 1 ,3 6 ,3 0 ,O 
Placilla ,9164 ,16 ,174.6 ,O ,0.0 ,3 ,32.7 ,3 ,32.7 ,0 O 0 0 ,1 O ,0 O ,O ,O 1 ,4 2 ,5 2 ,1 
Pumanque ,3531 ,1 ,28.3 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 O ,O 0 ,0 0 ,O ,0 0 ,0 0 ,1 0 ,O 
Quinta de Tilcoco ,13877 ,5 ,36.0 ,O ,0.0 ,1 ,7.2 ,1 ,7.2 ,0 0 0 1 ,0 O ,0 O ,O ,0 O ,1 1 ,2 0 ,O 
Rancagua8 ,265211 ,742 ,279.8 ,11 ,4.1 ,153 ,57.7 ,152 ,57.3 ,1 O 0 8 ,4 6 ,3 7 ,11 ,25 80 ,156 188 ,139 102 ,12 
Rengo& ,63710 ,82 ,128.7 ,O ,0.0 ,10 ,15.7 ,10 ,15.7 ,O 0 0 1 ,1 0 ,0 4 ,5 ,2 7 ,17 24 ,11 6 ,4 
Requinoa ,30371 ,43 ,141.6 ,O ,0.0 ,7 ,23.0 ,7 ,23.0 ,0 0 0 2 ,0 0 ,0 O ,2 ,O 4 ,5 10 ,14 6 ,0 
San Fernando& ,78642 ,71 ,90.3 ,2 ,2.5 ,14 ,17.8 ,14 ,17.8 ,O 0 0 2 ,1 1 ,0 O ,O ,2 7 ,8 22 ,14 13 ,1 
San Vicente& ,50617 ,67 ,132.4 ,1 ,2.0 ,5 ,9.9 ,5 ,9.9 ,0 0 0 0 ,3 1 ,0 O ,3 ,3 15 ,23 12 ,4 3 ,0 
Santa Cruz& ,41096 ,35 ,85.2 ,1 ,2.4 ,15 ,36.5 ,15 ,36.5 ,O 0 0 0 ,1 0 ,0 1 ,1 ,0 5 ,3 6 ,5 13 ,O 
Total ,991063 ,1658 ,167.3 ,27 ,2.7 ,297 ,30.0 ,294 ,29.7 ,1 0 1 20 ,16 10 ,10 17 ,43 ,63 204 ,358 402 ,287 204 ,22 
