Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Bulnes ,22607 ,557 ,2463.8 ,56 ,247.7 ,56 ,247.7 
Chillan ,& 198624 ,2357 ,1186.7 ,356 ,179.2 ,356 ,179.2 
Chillan Viejo ,33827 ,382 ,1129.3 ,58 ,171.5 ,58 ,171.5 
Cobquecura ,5275 ,20 ,379.1 ,2 ,37.9 ,2 ,37.9 
Coelemu ,16845 ,92 ,546.2 ,2 ,11.9 ,2 ,11.9 
Coihueco ,28375 ,268 ,944.5 ,29 ,102.2 ,29 ,102.2 
EI Carmen ,12334 ,124 ,1005.4 ,21 ,170.3 ,21 ,170.3 
Ninhue ,5414 ,55 ,1015.9 ,1 ,18.5 ,1 ,18.5 
Niquen ,11567 ,137 ,1184.4 ,18 ,155.6 ,18 ,155.6 
Pemuco ,8639 ,115 ,1331.2 ,10 ,115.8 ,10 ,115.8 
Pinto ,11880 ,79 ,665.0 ,5 ,42.1 ,5 ,42.1 
Portezuelo ,4940 ,26 ,526.3 ,3 ,60.7 ,3 ,60.7 
Quillon ,18777 ,214 ,1139.7 ,18 ,95.9 ,18 ,95.9 
Quirihue ,12192 ,121 ,992.5 ,19 ,155.8 ,19 ,155.8 
Ranquil ,6261 ,52 ,830.5 ,3 ,47.9 ,3 ,47.9 
San Carlos ,56252 ,575 ,1022.2 ,47 ,83.6 ,47 ,83.6 
San Fabian ,4654 ,17 ,365.3 ,1 ,21.5 ,1 ,21.5 
San Ignacio ,16624 ,185 ,1112.8 ,7 ,42.1 ,7 ,42.1 
San Nicolas ,12172 ,149 ,1224.1 ,11 ,90.4 ,11 ,90.4 
Treguaco ,5696 ,26 ,456.5 ,10 ,175.6 ,10 ,175.6 
Yungay ,18596 ,152 ,817.4 ,6 ,32.3 ,6 ,32.3 
Desconocido ,& - ,13 ,- ,12 ,- ,12 ,- 
Total ,511551 ,5716 ,1117.4 ,695 ,135.9 ,695 ,135.9 
