RegiondeMagallanesylaAntarticaChilena,69,0,00O,01,42,15,5,1,3,O,1,0,O,1,0
Desconocido ,138 ,0 ,0 0 2 ,13 5 ,4 ,5 ,12 ,17 ,8 ,3 ,1 ,27 ,26 ,4 ,11 
Total pais ,19402 ,0 ,0 19 41 ,47 78 ,302 ,450 ,678 ,890 ,2142 ,3027 ,3222 ,2551 ,2392 ,2486 ,1077 
