Grupoedad,Hombre,Mujer
00 04 anos ,2848 ,2580 
05 09 anos ,2210 ,2087 
10 14 anos ,2517 ,2625 
15 19 anos ,4547 ,5188 
20 24 anos ,12487 ,12323 
25 29 anos ,20041 ,19455 
30 34 anos ,20423 ,18140 
35 39 anos ,16979 ,14520 
40 44 anos ,14126 ,12174 
45 49 anos ,13692 ,12801 
50 54 anos ,13105 ,12066 
55 59 anos ,12326 ,10934 
60 64 anos ,9128 ,7632 
65 69 anos ,5719 ,5003 
70 74 anos ,3995 ,3772 
75 79 anos ,2735 ,2858 
80 y mas anos ,3240 ,5080 
