Romeral,16170,198,1224.5,2,12.4,62,383.4,62,383.4,O0O1,2,0010000,8122023,3657,290
Sagrada Familia ,19469 ,57 ,292.8 ,0 ,0.0 ,10 ,51.4 ,10 ,51.4 ,0 0 0 0 ,0 ,1 0 1 0 1 1 ,0 3 7 17 ,11 9 ,6 0 
San Clemente ,46292 ,278 ,600.5 ,4 ,8.6 ,94 ,203.1 ,94 ,203.1 ,0 1 0 0 ,O ,1 2 7 1 8 6 ,14 18 20 38 ,44 65 ,53 0 
San Javier& ,49451 ,231 ,467.1 ,1 ,2.0 ,50 ,101.1 ,50 ,101.1 ,0 0 O 1 ,2 ,7 4 7 4 3 7 ,8 9 22 51 ,42 38 ,24 2 
San Rafael& ,9959 ,102 ,1024.2 ,0 ,0.0 ,22 ,220.9 ,22 ,220.9 ,0 0 O 0 ,1 ,0 1 1 0 0 5 ,10 28 7 17 ,8 10 ,13 1 
Talca& ,236724 ,1239 ,523.4 ,9 ,3.8 ,346 ,146.2 ,345 ,145.7 ,0 4 9 13 ,19 ,11 16 74 17 12 22 ,53 73 83 164 ,210 273 ,182 4 
Teno& ,30850 ,118 ,382.5 ,3 ,9.7 ,31 ,100.5 ,31 ,100.5 ,O 0 0 1 ,1 ,0 1 1 1 3 3 ,3 4 7 12 ,32 29 ,20 0 
Vichuquen ,4381 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,O ,0 O 0 0 0 0 ,0 0 0 0 ,0 0 ,0 0 
Villa Alegre ,17512 ,55 ,314.1 ,1 ,5.7 ,11 ,62.8 ,11 ,62.8 ,0 0 0 0 ,0 ,0 1 1 0 0 1 ,2 0 9 17 ,10 9 ,5 0 
Yerbas Buenas ,19200 ,93 ,484.4 ,3 ,15.6 ,8 ,41.7 ,8 ,41.7 ,0 O 0 0 ,O ,O 1 O 2 O 5 ,9 12 23 13 ,16 7 ,5 0 
Desconocido& ,- ,43 ,- ,0 ,- ,16 ,- ,16 ,- ,0 0 0 1 ,0 ,0 1 0 0 0 0 ,1 0 4 7 ,7 12 ,10 0 
Total ,1131939 ,6146 ,543.0 ,56 ,4.9 ,1484 ,131.1 ,1481 ,130.8 ,1 6 11 29 ,52 ,48 67 168 49 52 121 ,248 487 736 970 ,1086 1212 ,787 16 
