Comuna,SESESE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SESE
,9 10 11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 31 
Alhue ,0 0 O ,O ,0 ,1 ,0 ,0 ,0 ,0 ,4 ,1 ,4 ,9 ,15 ,25 ,14 ,18 ,31 ,27 ,14 ,4 O 
Buin ,& 0 0 O ,5 ,16 ,11 ,13 ,19 ,21 ,62 ,137 ,188 ,231 ,217 ,284 ,271 ,207 ,168 ,169 ,116 ,90 ,8 O 
Calera de Tango ,& O O O ,4 ,4 ,1 ,1 ,5 ,1 ,8 ,19 ,32 ,37 ,70 ,72 ,75 ,56 ,77 ,40 ,32 ,18 ,1 O 
Cerrillos ,& 1 3 1 ,4 ,11 ,13 ,21 ,21 ,67 ,228 ,205 ,278 ,316 ,277 ,348 ,339 ,241 ,181 ,155 ,88 ,85 ,19 O 
Cerro Navia ,& 0 2 10 ,16 ,16 ,14 ,37 ,50 ,108 ,269 ,574 ,695 ,738 ,777 ,767 ,648 ,550 ,324 ,268 ,197 ,109 ,10 0 
Colina ,& 1 3 7 ,28 ,15 ,26 ,17 ,24 ,36 ,134 ,372 ,539 ,609 ,613 ,603 ,420 ,340 ,250 ,176 ,148 ,66 ,8 O 
Conchali ,& 0 2 2 ,17 ,14 ,19 ,42 ,74 ,133 ,383 ,632 ,718 ,667 ,647 ,651 ,560 ,461 ,325 ,279 ,193 ,75 ,14 O 
Curacavi ,& 0 0 1 ,3 ,5 ,5 ,4 ,1 ,4 ,18 ,40 ,72 ,97 ,136 ,100 ,94 ,70 ,52 ,45 ,44 ,35 ,13 0 
EI Bosque ,& 0 0 1 ,14 ,23 ,34 ,52 ,46 ,89 ,224 ,405 ,554 ,549 ,747 ,853 ,719 ,568 ,484 ,380 ,241 ,170 ,16 O 
EI Monte ,& 0 O 1 ,1 ,1 ,7 ,4 ,3 ,7 ,16 ,41 ,75 ,142 ,101 ,127 ,129 ,153 ,101 ,102 ,68 ,28 ,14 O 
Estacion Central ,& 0 2 3 ,12 ,28 ,34 ,42 ,81 ,169 ,379 ,571 ,674 ,681 ,744 ,695 ,565 ,442 ,317 ,216 ,200 ,113 ,25 O 
Huechuraba ,& 1 O 5 ,21 ,10 ,19 ,21 ,33 ,57 ,204 ,375 ,500 ,454 ,424 ,393 ,288 ,307 ,178 ,146 ,103 ,69 ,8 O 
Independencia ,& 0 O 4 ,16 ,10 ,26 ,50 ,146 ,308 ,573 ,787 ,779 ,776 ,731 ,567 ,444 ,332 ,214 ,198 ,156 ,90 ,18 O 
Isla de Maipo ,& O O O ,2 ,2 ,7 ,2 ,O ,4 ,13 ,25 ,37 ,70 ,89 ,103 ,81 ,77 ,78 ,70 ,109 ,87 ,7 O 
La Cisterna ,& 0 0 3 ,11 ,13 ,18 ,18 ,28 ,64 ,121 ,242 ,329 ,314 ,430 ,400 ,309 ,281 ,186 ,118 ,113 ,50 ,7 0 
La Florida ,& 1 2 12 ,31 ,59 ,64 ,80 ,107 ,208 ,596 ,1038 ,1550 ,1727 ,1624 ,1670 ,1190 ,1073 ,806 ,521 ,402 ,244 ,33 O 
La Granja ,& O O 1 ,6 ,15 ,36 ,22 ,21 ,75 ,275 ,614 ,919 ,1027 ,807 ,814 ,644 ,523 ,354 ,349 ,187 ,85 ,24 O 
La Pintana ,& 1 1 3 ,10 ,21 ,35 ,51 ,95 ,157 ,349 ,761 ,921 ,1278 ,1434 ,1399 ,992 ,748 ,564 ,361 ,242 ,185 ,69 O 
La Reina ,& 0 0 12 ,17 ,12 ,18 ,8 ,13 ,41 ,75 ,125 ,221 ,307 ,254 ,246 ,225 ,184 ,128 ,114 ,70 ,41 ,10 0 
Lampa ,& 0 O O ,9 ,14 ,15 ,14 ,19 ,53 ,139 ,295 ,347 ,401 ,381 ,435 ,370 ,253 ,190 ,163 ,148 ,97 ,12 O 
Las Condes ,& 1 18 60 ,128 ,69 ,42 ,37 ,34 ,76 ,247 ,504 ,699 ,753 ,684 ,576 ,499 ,370 ,284 ,215 ,140 ,122 ,18 0 
Lo Barnechea ,& 0 2 14 ,55 ,30 ,23 ,37 ,40 ,65 ,151 ,269 ,399 ,418 ,366 ,444 ,303 ,166 ,121 ,98 ,54 ,58 ,5 0 
Lo Espejo ,& 0 O 1 ,5 ,9 ,25 ,32 ,21 ,79 ,175 ,345 ,435 ,379 ,514 ,554 ,401 ,358 ,262 ,182 ,147 ,112 ,7 O 
Lo Prado ,& O O 3 ,6 ,21 ,16 ,24 ,31 ,105 ,197 ,353 ,499 ,512 ,630 ,531 ,493 ,404 ,249 ,209 ,209 ,142 ,13 O 
Macul ,& 0 1 3 ,17 ,23 ,20 ,14 ,24 ,78 ,190 ,440 ,536 ,640 ,555 ,631 ,474 ,375 ,256 ,183 ,153 ,76 ,14 O 
Maipu ,& 0 1 13 ,52 ,73 ,83 ,97 ,117 ,158 ,432 ,908 ,1362 ,1583 ,1693 ,1835 ,1619 ,1280 ,980 ,706 ,527 ,291 ,38 O 
Maria Pinto ,O O O ,O ,O ,O ,1 ,O ,2 ,2 ,18 ,25 ,38 ,37 ,41 ,27 ,28 ,46 ,31 ,29 ,18 ,1 O 
,& O 1 1 ,6 ,5 ,5 ,8 ,24 ,37 ,85 ,107 ,212 ,354 ,480 ,475 ,419 ,451 ,348 ,294 ,220 ,92 ,10 O 
