Lampa,126898,45,35.5,14,11.0,14,11.0,0,O,O,8,15,13,8,1
Condes ,330759 ,320 ,96.7 ,38 ,11.5 ,37 ,11.2 ,0 ,6 ,61 ,119 ,68 ,36 ,25 ,5 
Barnechea ,124076 ,144 ,116.1 ,39 ,31.4 ,38 ,30.6 ,0 ,2 ,14 ,51 ,25 ,18 ,28 ,6 
Espejo ,103865 ,60 ,57.8 ,33 ,31.8 ,33 ,31.8 ,0 ,0 ,1 ,4 ,6 ,23 ,24 ,2 
Prado ,104403 ,62 ,59.4 ,27 ,25.9 ,26 ,24.9 ,0 ,0 ,3 ,5 ,19 ,12 ,15 ,8 
Macul ,134635 ,57 ,42.3 ,13 ,9.7 ,13 ,9.7 ,0 ,1 ,3 ,11 ,21 ,11 ,7 ,3 
Maipu ,578605 ,284 ,49.1 ,107 ,18.5 ,102 ,17.6 ,0 ,0 ,13 ,45 ,64 ,71 ,63 ,28 
Maria Pinto ,14926 ,1 ,6.7 ,1 ,6.7 ,1 ,6.7 ,0 ,0 ,O ,0 ,0 ,O ,1 ,0 
Melipilla ,141612 ,25 ,17.7 ,12 ,8.5 ,12 ,8.5 ,O ,1 ,1 ,4 ,6 ,4 ,6 ,3 
Nunoa ,250192 ,217 ,86.7 ,81 ,32.4 ,78 ,31.2 ,1 ,1 ,25 ,49 ,34 ,41 ,41 ,25 
Padre Hurtado ,74188 ,28 ,37.7 ,10 ,13.5 ,10 ,13.5 ,0 ,1 ,O ,5 ,9 ,5 ,8 ,O 
Paine ,82766 ,10 ,12.1 ,6 ,7.2 ,6 ,7.2 ,0 ,1 ,0 ,2 ,0 ,4 ,2 ,1 
Pedro Aguirre Cerda ,107803 ,78 ,72.4 ,50 ,46.4 ,47 ,43.6 ,O ,0 ,2 ,4 ,14 ,17 ,37 ,4 
Penaflor ,101058 ,29 ,28.7 ,9 ,8.9 ,9 ,8.9 ,0 ,1 ,4 ,3 ,8 ,4 ,6 ,3 
Penalolen ,266798 ,162 ,60.7 ,68 ,25.5 ,65 ,24.4 ,0 ,2 ,9 ,25 ,32 ,35 ,45 ,14 
Pirque ,30433 ,13 ,42.7 ,5 ,16.4 ,5 ,16.4 ,0 ,0 ,2 ,2 ,3 ,1 ,5 ,O 
Providencia ,157749 ,164 ,104.0 ,32 ,20.3 ,29 ,18.4 ,0 ,4 ,28 ,59 ,20 ,23 ,20 ,10 
Pudahuel ,253139 ,103 ,40.7 ,39 ,15.4 ,39 ,15.4 ,1 ,1 ,1 ,18 ,23 ,25 ,32 ,2 
Puente Alto ,645909 ,472 ,73.1 ,230 ,35.6 ,220 ,34.1 ,0 ,O ,7 ,49 ,91 ,148 ,123 ,54 
Quilicura ,254694 ,112 ,44.0 ,48 ,18.8 ,48 ,18.8 ,0 ,2 ,3 ,16 ,24 ,34 ,27 ,6 
Quinta Normal ,136368 ,125 ,91.7 ,62 ,45.5 ,62 ,45.5 ,0 ,2 ,4 ,14 ,22 ,33 ,35 ,15 
Recoleta ,190075 ,107 ,56.3 ,51 ,26.8 ,51 ,26.8 ,0 ,O ,5 ,14 ,17 ,25 ,35 ,11 
Renca ,160847 ,70 ,43.5 ,43 ,26.7 ,42 ,26.1 ,0 ,0 ,4 ,8 ,10 ,6 ,23 ,19 
San Bernardo ,334836 ,198 ,59.1 ,107 ,32.0 ,105 ,31.4 ,1 ,1 ,6 ,19 ,33 ,57 ,53 ,28 
San Joaquin ,103485 ,84 ,81.2 ,41 ,39.6 ,40 ,38.7 ,0 ,O ,1 ,14 ,21 ,12 ,26 ,10 
San Jose de Maipo ,18644 ,4 ,21.5 ,1 ,5.4 ,1 ,5.4 ,0 ,O ,1 ,1 ,1 ,0 ,1 ,O 
San Migue ,133059 ,111 ,83.4 ,48 ,36.1 ,46 ,34.6 ,0 ,0 ,3 ,24 ,19 ,24 ,34 ,7 
