Penco,&,49865,,377,756.0,1,2.0,60,120.3,60
Quilaco ,& ,4179 ,,15 ,358.9 ,0 ,0.0 ,3 ,71.8 ,3 
Quilleco ,,10032 ,,39 ,388.8 ,1 ,10.0 ,18 ,179.4 ,18 
San Pedro de la Paz ,& ,145906 ,,774 ,530.5 ,14 ,9.6 ,120 ,82.2 ,118 
San Rosendo ,,3611 ,,34 ,941.6 ,1 ,27.7 ,6 ,166.2 ,6 
Santa Barbara ,,14592 ,,117 ,801.8 ,O ,0.0 ,15 ,102.8 ,15 
Santa Juana ,& ,14779 ,,75 ,507.5 ,4 ,27.1 ,6 ,40.6 ,6 
Talcahuano ,,158345 ,,968 ,611.3 ,7 ,4.4 ,174 ,109.9 ,173 
Tirua ,,11019 ,,30 ,272.3 ,0 ,0.0 ,O ,0.0 ,0 
Tome ,,58729 ,,344 ,585.7 ,1 ,1.7 ,18 ,30.6 ,18 
Tucapel ,,15205 ,,143 ,940.5 ,1 ,6.6 ,10 ,65.8 ,10 
Yumbel ,& ,22132 ,,200 ,903.7 ,1 ,4.5 ,55 ,248.5 ,55 
Desconocido ,& ,- ,,153 ,- ,0 ,- ,31 ,- ,31 
Total ,,1663696 ,,10206 ,613.5 ,96 ,5.8 ,1532 ,92.1 ,1528 
,,,,,,,,,,
,,SE SE SE ,SE ,SE SE ,SE SE SE ,SE SE ,SE SE SE ,SE SE ,SE SE ,SE SE SE SE 
Comuna ,,9 10 11 ,12 ,13 14 ,15 16 17 ,18 19 ,20 21 22 ,23 24 ,25 26 ,27 28 29 30 
Alto Biobio ,,O 0 O ,O ,O O ,O O 0 ,0 O ,7 43 51 ,27 11 ,10 2 ,7 9 1 O 
Antuco ,& ,0 0 0 ,O ,0 0 ,0 0 0 ,0 2 ,2 1 13 ,2 5 ,14 4 ,5 5 1 0 
Arauco ,& ,O O 1 ,2 ,2 1 ,O 0 0 ,5 4 ,14 17 24 ,22 34 ,65 62 ,30 10 3 O 
Cabrero ,,O O O ,1 ,O 4 ,3 7 1 ,3 4 ,2 3 3 ,8 24 ,35 14 ,10 11 2 O 
Canete ,,O O 0 ,0 ,O 0 ,0 0 0 ,0 0 ,1 9 4 ,7 1 ,7 4 ,3 9 2 0 
Chiguayante ,& ,O 0 5 ,5 ,9 16 ,12 10 13 ,8 7 ,9 9 27 ,40 60 ,52 51 ,61 62 14 0 
Concepcion ,& ,1 1 7 ,28 ,31 23 ,22 18 14 ,20 19 ,21 93 99 ,134 251 ,258 171 ,129 123 35 0 
Contulmo ,,0 O O ,O ,O 0 ,O O O ,O O ,O 1 1 ,O O ,11 27 ,3 0 0 O 
Corone ,& ,0 0 1 ,6 ,7 4 ,1 O 5 ,2 13 ,16 50 130 ,111 151 ,224 171 ,148 92 26 O 
Curanilahue ,& ,0 0 0 ,1 ,0 0 ,0 O 0 ,1 3 ,0 2 4 ,12 9 ,17 19 ,25 46 9 0 
