Comuna,Busquedasactivas(%),Positividad(%),CoberturaTesteo(%),Oportunidadnotificacion(%)
Corral ,130 ,- ,958 ,- 
Futrono ,491 ,09 ,100 ,100 
La Union ,139 ,- ,962 ,- 
Lago Ranco ,267 ,- ,938 ,- 
Lanco ,65 ,- ,979 ,- 
Los Lagos ,349 ,- ,976 ,- 
Mafil ,269 ,75 ,985 ,100 
Mariquina ,189 ,- ,968 ,- 
Paillaco ,80 ,- ,980 ,- 
Panguipulli ,393 ,14 ,895 ,100 
Rio Bueno ,186 ,42 ,100 ,100 
Valdivia ,287 ,26 ,986 ,966 
Total ,278 ,22 ,976 ,976 
