Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Cauquenes ,44143 ,417 ,944.7 ,8 ,18.1 ,8 ,18.1 
Chanco ,9331 ,56 ,600.2 ,5 ,53.6 ,5 ,53.6 
Colbun ,22565 ,252 ,1116.8 ,27 ,119.7 ,27 ,119.7 
Constitucion ,& 50348 ,426 ,846.1 ,23 ,45.7 ,23 ,45.7 
Curepto ,9426 ,97 ,1029.1 ,31 ,328.9 ,31 ,328.9 
Curico ,& 163626 ,2307 ,1409.9 ,97 ,59.3 ,96 ,58.7 
Empedrado ,4206 ,33 ,784.6 ,0 ,0.0 ,0 ,0.0 
Hualane ,10222 ,116 ,1134.8 ,1 ,9.8 ,1 ,9.8 
Licanten ,& 6989 ,26 ,372.0 ,0 ,0.0 ,O ,0.0 
Linares ,& 101073 ,944 ,934.0 ,115 ,113.8 ,115 ,113.8 
Longavi ,& 32810 ,325 ,990.6 ,24 ,73.1 ,24 ,73.1 
Maule ,& 60000 ,560 ,933.3 ,60 ,100.0 ,60 ,100.0 
Molina ,& 49800 ,349 ,700.8 ,28 ,56.2 ,28 ,56.2 
Parral ,& 44544 ,274 ,615.1 ,12 ,26.9 ,12 ,26.9 
Pelarco ,9083 ,136 ,1497.3 ,3 ,33.0 ,3 ,33.0 
Pelluhue ,8092 ,80 ,988.6 ,6 ,74.1 ,6 ,74.1 
Pencahue ,8601 ,66 ,767.4 ,9 ,104.6 ,9 ,104.6 
Rauco ,& 11248 ,121 ,1075.7 ,6 ,53.3 ,6 ,53.3 
Retiro ,& 21071 ,173 ,821.0 ,12 ,57.0 ,12 ,57.0 
Rio Claro ,14753 ,116 ,786.3 ,1 ,6.8 ,1 ,6.8 
Romeral ,& 16170 ,309 ,1910.9 ,17 ,105.1 ,17 ,105.1 
