Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Angol ,56058 ,609 ,1086.4 ,37 ,66.0 ,37 ,66.0 
Carahue ,& 25486 ,156 ,612.1 ,9 ,35.3 ,9 ,35.3 
Cholchol ,12341 ,46 ,372.7 ,4 ,32.4 ,4 ,32.4 
Collipulli ,& 26148 ,291 ,1112.9 ,68 ,260.1 ,68 ,260.1 
Cunco ,18055 ,127 ,703.4 ,3 ,16.6 ,3 ,16.6 
Curacautin ,18178 ,43 ,236.5 ,O ,0.0 ,0 ,0.0 
Curarrehue ,7802 ,6 ,76.9 ,2 ,25.6 ,2 ,25.6 
Ercilla ,8458 ,103 ,1217.8 ,14 ,165.5 ,14 ,165.5 
Freire ,25446 ,130 ,510.9 ,4 ,15.7 ,4 ,15.7 
Galvarino ,12633 ,134 ,1060.7 ,O ,0.0 ,0 ,0.0 
Gorbea ,15148 ,48 ,316.9 ,3 ,19.8 ,3 ,19.8 
Lautaro ,40746 ,224 ,549.7 ,11 ,27.0 ,11 ,27.0 
Loncoche ,& 24739 ,82 ,331.5 ,1 ,4.0 ,1 ,4.0 
Lonquimay ,11049 ,73 ,660.7 ,1 ,9.1 ,1 ,9.1 
Los Sauces ,7517 ,62 ,824.8 ,1 ,13.3 ,1 ,13.3 
Lumaco ,10050 ,45 ,447.8 ,1 ,10.0 ,1 ,10.0 
Melipeuco ,6265 ,21 ,335.2 ,5 ,79.8 ,5 ,79.8 
Nueva Imperial ,33777 ,174 ,515.1 ,12 ,35.5 ,12 ,35.5 
Padre Las Casas ,82110 ,272 ,331.3 ,10 ,12.2 ,10 ,12.2 
Perquenco ,7223 ,89 ,1232.2 ,26 ,360.0 ,26 ,360.0 
Pitrufquen ,26096 ,130 ,498.2 ,17 ,65.1 ,17 ,65.1 
