Peralillo,11848,0,0.0,0,0.0,0,0.0,0000,0000,000
Peumo ,14952 ,3 ,20.1 ,1 ,6.7 ,1 ,6.7 ,0 0 0 0 ,1 0 0 0 ,0 2 0 
Pichidegua ,20743 ,1 ,4.8 ,1 ,4.8 ,1 ,4.8 ,0 0 0 0 ,0 0 0 0 ,0 1 0 
Pichilemu ,17882 ,1 ,5.6 ,1 ,5.6 ,1 ,5.6 ,0 0 0 0 ,0 0 0 0 ,0 1 0 
Placilla ,9164 ,1 ,10.9 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,1 0 0 0 ,0 0 0 
Pumanque ,3531 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 0 0 0 ,0 0 0 
Quinta de Tilcoco ,13877 ,1 ,7.2 ,0 ,0.0 ,0 ,0.0 ,0 0 0 1 ,0 0 0 0 ,0 0 0 
Rancagua ,265211 ,82 ,30.9 ,45 ,17.0 ,45 ,17.0 ,0 0 0 8 ,4 6 3 6 ,8 20 26 
Rengo ,63710 ,11 ,17.3 ,3 ,4.7 ,3 ,4.7 ,0 0 0 1 ,1 0 0 2 ,4 1 2 
Requinoa ,30371 ,5 ,16.5 ,1 ,3.3 ,1 ,3.3 ,0 0 0 2 ,0 0 0 0 ,2 0 1 
San Fernando ,78642 ,6 ,7.6 ,1 ,1.3 ,1 ,1.3 ,0 0 0 2 ,0 1 0 0 ,1 2 0 
San Vicente ,50617 ,14 ,27.7 ,6 ,11.9 ,6 ,11.9 ,0 0 0 0 ,3 1 0 0 ,3 2 5 
Santa Cruz ,41096 ,3 ,7.3 ,1 ,2.4 ,1 ,2.4 ,0 0 0 0 ,1 0 0 1 ,0 1 0 
,,,,,,,,,,
