Grupoedad,Hombre,Mujer
00 04 anos ,3564 ,3287 
05 09 anos ,2887 ,2705 
10 14 anos ,3295 ,3411 
15 19 anos ,5743 ,6489 
20 24 anos ,15055 ,14990 
25 29 anos ,23905 ,23413 
30 34 anos ,24505 ,21813 
35 39 anos ,20206 ,17424 
40 44 anos ,16984 ,14745 
45 49 anos ,16603 ,15419 
50 54 anos ,15790 ,14685 
55 59 anos ,14816 ,13289 
60 64 anos ,11111 ,9423 
