Semanaepidemiologica,Activos,Recuperados,Tasaactivos
8 ,1 ,O ,0.0 
9 ,23 ,O ,0.1 
10 ,106 ,1 ,0.5 
11 ,597 ,23 ,3.1 
12 ,2423 ,107 ,12.5 
13 ,4249 ,620 ,21.8 
14 ,4940 ,2530 ,25.4 
15 ,5541 ,4869 ,28.5 
16 ,6918 ,7470 ,35.6 
17 ,10245 ,10410 ,52.7 
18 ,20128 ,14388 ,103.4 
19 ,39633 ,20655 ,203.7 
20 ,59584 ,34516 ,306.2 
21 ,72207 ,60288 ,371.1 
22 ,77993 ,94100 ,400.8 
23 ,81787 ,132495 ,420.3 
24 ,80194 ,172093 ,412.1 
25 ,72212 ,214282 ,371.1 
26 ,53639 ,252287 ,275.7 
