Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Bulnes ,22607 ,336 ,1486.3 ,5 ,22.1 ,46 ,203.5 ,46 ,203.5 
Chillan ,& 198624 ,1631 ,821.1 ,16 ,8.1 ,238 ,119.8 ,237 ,119.3 
Chillan Viejo ,& 33827 ,276 ,815.9 ,1 ,3.0 ,43 ,127.1 ,43 ,127.1 
Cobquecura ,5275 ,1 ,19.0 ,0 ,0.0 ,1 ,19.0 ,1 ,19.0 
Coelemu ,16845 ,73 ,433.4 ,2 ,11.9 ,8 ,47.5 ,7 ,41.6 
Coihueco ,& 28375 ,187 ,659.0 ,4 ,14.1 ,55 ,193.8 ,55 ,193.8 
EI Carmen ,12334 ,92 ,745.9 ,2 ,16.2 ,17 ,137.8 ,17 ,137.8 
Ninhue ,5414 ,43 ,794.2 ,3 ,55.4 ,2 ,36.9 ,2 ,36.9 
Niquen ,11567 ,78 ,674.3 ,2 ,17.3 ,7 ,60.5 ,7 ,60.5 
Pemuco ,8639 ,100 ,1157.5 ,2 ,23.2 ,13 ,150.5 ,12 ,138.9 
Pinto ,11880 ,60 ,505.1 ,0 ,0.0 ,19 ,159.9 ,19 ,159.9 
Portezuelo ,4940 ,21 ,425.1 ,0 ,0.0 ,9 ,182.2 ,9 ,182.2 
Quillon ,18777 ,172 ,916.0 ,4 ,21.3 ,31 ,165.1 ,31 ,165.1 
Quirihue ,12192 ,59 ,483.9 ,1 ,8.2 ,12 ,98.4 ,12 ,98.4 
Ranquil ,6261 ,42 ,670.8 ,0 ,0.0 ,14 ,223.6 ,14 ,223.6 
San Carlos ,& 56252 ,459 ,816.0 ,4 ,7.1 ,42 ,74.7 ,42 ,74.7 
San Fabian ,4654 ,14 ,300.8 ,0 ,0.0 ,5 ,107.4 ,5 ,107.4 
San Ignacio ,16624 ,176 ,1058.7 ,4 ,24.1 ,30 ,180.5 ,30 ,180.5 
San Nicolas ,12172 ,111 ,911.9 ,2 ,16.4 ,27 ,221.8 ,27 ,221.8 
Treguaco ,5696 ,6 ,105.3 ,1 ,17.6 ,2 ,35.1 ,2 ,35.1 
Yungay ,& 18596 ,116 ,623.8 ,0 ,0.0 ,15 ,80.7 ,15 ,80.7 
Desconocido ,& - ,8 ,- ,0 ,- ,7 ,- ,7 ,- 
Total ,511551 ,4061 ,793.9 ,53 ,10.4 ,643 ,125.7 ,640 ,125.1 
