Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alto de Carmen ,5729 ,11 ,192.0 ,O ,0.0 ,0 ,0.0 ,O ,0.0 
Caldera ,& 19426 ,126 ,648.6 ,1 ,5.1 ,40 ,205.9 ,39 ,200.8 
Chanaral ,13164 ,66 ,501.4 ,O ,0.0 ,12 ,91.2 ,12 ,91.2 
Copiapo ,& 171766 ,2794 ,1626.6 ,16 ,9.3 ,841 ,489.6 ,841 ,489.6 
Diego de Almagro ,14358 ,58 ,404.0 ,2 ,13.9 ,4 ,27.9 ,4 ,27.9 
Freirina ,7681 ,68 ,885.3 ,O ,0.0 ,15 ,195.3 ,15 ,195.3 
Huasco ,11264 ,39 ,346.2 ,O ,0.0 ,3 ,26.6 ,3 ,26.6 
Tierra Amarilla ,14312 ,242 ,1690.9 ,O ,0.0 ,71 ,496.1 ,71 ,496.1 
Vallenar ,& 57009 ,522 ,915.6 ,O ,0.0 ,49 ,86.0 ,49 ,86.0 
Desconocido ,& - ,18 ,- ,O ,- ,0 ,- ,0 ,- 
Total ,314709 ,3944 ,1253.2 ,19 ,6.0 ,1035 ,328.9 ,1034 ,328.6 
