ZonadeChile,Poblacion,CasosAcumulados,CasosFallecidos(*),Tasaincidenciaacumulada,Tasamortalidadacumulada,TasaLetalidad
Region de Arica y Parinacota ,252110 ,582 ,7 ,230.9 ,2.8 ,1.2% 
Region de Tarapaca ,382773 ,2093 ,14 ,546.8 ,3.7 ,0.7% 
Region de Antofagasta ,691854 ,2318 ,28 ,335.0 ,4.0 ,1.2% 
Region de Atacama ,314709 ,207 ,0 ,65.8 ,0.0 ,0.0% 
Region de Coquimbo ,836096 ,537 ,2 ,64.2 ,0.2 ,0.4% 
Region de Valparaiso ,1960170 ,2842 ,61 ,145.0 ,3.1 ,2.1% 
Region Metropolitana de Santiago ,8125072 ,72910 ,685 ,897.3 ,8.4 ,0.9% 
Region del Libertador General Bernardo O'Higgins ,991063 ,745 ,14 ,75.2 ,1.4 ,1.9% 
Region de Maule ,1131939 ,1180 ,15 ,104.2 ,1.3 ,1.3% 
Region del Nuble ,511551 ,1242 ,22 ,242.8 ,4.3 ,1.8% 
Region de Biobio ,1663696 ,1778 ,11 ,106.9 ,0.7 ,0.6% 
Region de la Araucania ,1014343 ,1989 ,47 ,196.1 ,4.6 ,2.4% 
Region de LOs Rios ,405835 ,330 ,6 ,81.3 ,1.5 ,1.8% 
Region de Los Lagos ,891440 ,822 ,13 ,92.2 ,1.5 ,1.6% 
Region de Aysen del General Carlos lbanez del Campo ,107297 ,16 ,0 ,14.9 ,0.0 ,0.0% 
Region de Magallanes y la Antartica Chilena ,178362 ,1047 ,19 ,587.0 ,10.7 ,1.8% 
Total pais ,19458310 ,90638 ,944 ,465.8 ,4.9 ,1.0% 
