Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alhue ,,7405 ,259 ,3497.6 ,38 ,513.2 ,38 ,513.2 
Buin ,& ,109641 ,2545 ,2321.2 ,92 ,83.9 ,91 ,83.0 
Calera de Tango ,,28525 ,596 ,2089.4 ,15 ,52.6 ,15 ,52.6 
Cerrillos ,& ,88956 ,3142 ,3532.1 ,51 ,57.3 ,51 ,57.3 
Cerro Navia ,& ,142465 ,6776 ,4756.3 ,133 ,93.4 ,132 ,92.7 
Colina ,& ,180353 ,4694 ,2602.7 ,80 ,44.4 ,79 ,43.8 
Conchali ,& ,139195 ,6344 ,4557.6 ,104 ,74.7 ,104 ,74.7 
Curacavi ,& ,36430 ,938 ,2574.8 ,41 ,112.5 ,41 ,112.5 
EI Bosque ,& ,172000 ,6570 ,3819.8 ,89 ,51.7 ,89 ,51.7 
EI Monte ,& ,40014 ,1252 ,3128.9 ,29 ,72.5 ,29 ,72.5 
Estacion Central ,& ,206792 ,6331 ,3061.5 ,98 ,47.4 ,98 ,47.4 
Huechuraba ,& ,112528 ,3966 ,3524.5 ,87 ,77.3 ,87 ,77.3 
Independencia ,& ,142065 ,6604 ,4648.6 ,106 ,74.6 ,106 ,74.6 
Isla de Maipo ,& ,40171 ,1140 ,2837.9 ,49 ,122.0 ,49 ,122.0 
La Cisterna ,& ,100434 ,3301 ,3286.7 ,62 ,61.7 ,61 ,60.7 
La Florida ,& ,402433 ,13894 ,3452.5 ,196 ,48.7 ,194 ,48.2 
La Granja ,& ,122557 ,7110 ,5801.4 ,72 ,58.7 ,72 ,58.7 
La Pintana ,& ,189335 ,10485 ,5537.8 ,194 ,102.5 ,194 ,102.5 
La Reina ,& ,100252 ,2308 ,2302.2 ,68 ,67.8 ,68 ,67.8 
Lampa ,& ,126898 ,3631 ,2861.4 ,78 ,61.5 ,78 ,61.5 
Las Condes ,& ,330759 ,6022 ,1820.7 ,129 ,39.0 ,128 ,38.7 
Lo Barnechea ,& ,124076 ,3431 ,2765.2 ,87 ,70.1 ,87 ,70.1 
Lo Espejo ,,103865 ,4375 ,4212.2 ,79 ,76.1 ,78 ,75.1 
