Region,Poblacion,Confirmados,Tasaincidencia
Angol ,56058 ,23 ,41.0 
Carahue ,25486 ,6 ,23.5 
Cholchol ,12341 ,- ,24.3 
Collipulli ,26148 ,- ,0.0 
Cunco ,18055 ,5 ,27.7 
Curacautin ,18178 ,- ,16.5 
Curarrehue ,7802 ,4 ,51.3 
Ercilla ,8458 ,- ,23.6 
Freire ,25446 ,5 ,19.6 
Galvarino ,12633 ,- ,15.8 
Gorbea ,15148 ,10 ,66.0 
Lautaro ,40746 ,19 ,46.6 
Loncoche ,24739 ,6 ,24.3 
Lonquimay ,11049 ,- ,0.0 
Los Sauces ,7517 ,- ,0.0 
Lumaco ,10050 ,- ,0.0 
Melipeuco ,6265 ,- ,0.0 
Nueva Imperial ,33777 ,20 ,59.2 
Padre Las Casas ,82110 ,49 ,59.7 
Perquenco ,7223 ,- ,27.7 
Pitrufquen ,26096 ,12 ,46.0 
Pucon ,29782 ,5 ,16.8 
Puren ,12188 ,- ,16.4 
Renaico ,10833 ,- ,9.2 
Saavedra ,12793 ,- ,7.8 
Temuco ,302931 ,407 ,134.4 
Teodoro Schmidt ,15786 ,- ,19.0 
Tolten ,10055 ,7 ,69.6 
Traiguen ,19314 ,- ,0.0 
Victoria ,35467 ,15 ,42.3 
Vilcun ,30766 ,20 ,65.0 
Villarrica ,59103 ,15 ,25.4 
Por determinar ,- ,22 ,- 
Total ,1014343 ,669 ,66.0 
