Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Andacollo ,11791 ,41 ,347.7 ,1 ,8.5 ,2 ,17.0 ,2 ,17.0 
Canela ,9546 ,19 ,199.0 ,1 ,10.5 ,4 ,41.9 ,4 ,41.9 
Combarbala ,13884 ,31 ,223.3 ,O ,0.0 ,1 ,7.2 ,1 ,7.2 
Coquimbo & ,256735 ,1481 ,576.9 ,7 ,2.7 ,311 ,121.1 ,310 ,120.7 
Illapel ,32801 ,212 ,646.3 ,O ,0.0 ,69 ,210.4 ,69 ,210.4 
La Higuera & ,4450 ,9 ,202.2 ,0 ,0.0 ,5 ,112.4 ,5 ,112.4 
La Serena & ,249656 ,1261 ,505.1 ,11 ,4.4 ,281 ,112.6 ,281 ,112.6 
LOs Vilos & ,23374 ,74 ,316.6 ,1 ,4.3 ,11 ,47.1 ,11 ,47.1 
Monte Patria & ,32527 ,229 ,704.0 ,2 ,6.1 ,28 ,86.1 ,28 ,86.1 
Ovalle & ,121269 ,1046 ,862.5 ,17 ,14.0 ,125 ,103.1 ,122 ,100.6 
Paiguano ,4675 ,8 ,171.1 ,0 ,0.0 ,1 ,21.4 ,1 ,21.4 
Punitaqui ,12165 ,64 ,526.1 ,3 ,24.7 ,12 ,98.6 ,12 ,98.6 
Rio Hurtado ,4372 ,22 ,503.2 ,O ,0.0 ,4 ,91.5 ,4 ,91.5 
Salamanca ,29110 ,68 ,233.6 ,0 ,0.0 ,9 ,30.9 ,9 ,30.9 
Vicuna ,29741 ,50 ,168.1 ,0 ,0.0 ,12 ,40.3 ,12 ,40.3 
Desconocido & ,- ,159 ,- ,0 ,- ,52 ,- ,52 ,- 
Total ,836096 ,4774 ,571.0 ,43 ,5.1 ,927 ,110.9 ,923 ,110.4 
