Comuna,Poblacion,Confirmados,Tasadeincidencia
Bulnes ,22607 ,32 ,"141,5 "
Chillan ,198624 ,240 ,"120,8 "
Chillan Viejo ,33827 ,26 ,"76,9 "
Cobquecura ,5275 ,- ,"0,0 "
Coelemu ,16845 ,- ,"11,9 "
Coihueco ,28375 ,- ,"10,6 "
EI Carmen ,12334 ,- ,"16,2 "
Ninhue ,5414 ,- ,"0,0 "
Niquen ,11567 ,- ,"0,0 "
Pemuco ,8639 ,- ,"0,0 "
Pinto ,11880 ,6 ,"50,5 "
Portezuelo ,4940 ,- ,"0,0 "
Quillon ,18777 ,15 ,"79,9 "
Quirihue ,12192 ,- ,"0,0 "
Ranquil ,6261 ,5 ,"79,9 "
San Carlos ,56252 ,13 ,"23,1 "
San Fabian ,4654 ,6 ,"128,9 "
San Ignacio ,16624 ,- ,"18,0 "
San Nicolas ,12172 ,4 ,"32,9 "
Treguaco ,5696 ,- ,"0,0 "
Yungay ,18596 ,10 ,"53,8 "
Por determinar ,- ,3 ,
Total ,511551 ,370 ,"72,3 "
