Region,Poblacion,ConfirmadosNotificados,TasaIncidenciaAcumulada
Arica y Parinacota ,252110 ,270 ,107.1 
Tarapaca ,382773 ,163 ,42.6 
Antofagasta ,691854 ,457 ,66.1 
Atacama ,314709 ,29 ,9.2 
Coquimbo ,836096 ,82 ,9.8 
Valparaiso ,1960170 ,481 ,24.5 
Metropolitana ,8125072 ,7821 ,96.3 
O'Higgins ,991063 ,92 ,9.3 
Maule ,1131939 ,375 ,33.1 
Nuble ,511551 ,731 ,142.9 
Biobio ,1663696 ,703 ,42.3 
Araucania ,1014343 ,1201 ,118.4 
Los Rios ,405835 ,173 ,42.6 
Los Lagos ,891440 ,462 ,51.8 
Aisen ,107297 ,5 ,4.7 
Magallanes ,178362 ,659 ,369.5 
Total pais ,19458310 ,13704 ,70.4 
