Comuna,Busquedasactivas(%),Positividad(%),CoberturaTesteo(%),Oportunidadnotificacion(%)
Chepica ,680 ,47 ,988 ,100 
Chimbarongo ,400 ,50 ,929 ,100 
Codegua ,636 ,121 ,972 ,923 
Coinco ,646 ,15 ,985 ,100 
Coltauco ,748 ,120 ,976 ,100 
Donihue ,656 ,59 ,974 ,100 
Graneros ,474 ,151 ,957 ,921 
La Estrella ,286 ,143 ,100 ,100 
Las Cabras ,405 ,250 ,719 ,100 
Litueche ,858 ,33 ,923 ,750 
Lolol ,786 ,14 ,100 ,100 
Machali ,622 ,43 ,921 ,100 
Malloa ,736 ,33 ,567 ,100 
Marchihue ,873 ,- ,992 ,- 
Mostazal ,537 ,69 ,976 ,100 
Nancagua ,531 ,61 ,922 ,333 
Navidad ,250 ,- ,100 ,- 
Olivar ,713 ,69 ,957 ,100 
Palmilla ,492 ,62 ,985 ,100 
Paredones ,364 ,- ,917 ,- 
Peralillo ,774 ,48 ,984 ,100 
Peumo ,731 ,103 ,963 ,812 
Pichidegua ,761 ,87 ,949 ,957 
Pichilemu ,841 ,05 ,985 ,100 
Placilla ,316 ,105 ,974 ,100 
Pumanque ,980 ,- ,962 ,- 
Quinta de Tilcoco ,726 ,27 ,912 ,100 
Rancagua ,640 ,74 ,956 ,966 
Rengo ,763 ,60 ,920 ,972 
Requinoa ,611 ,36 ,969 ,889 
San Fernando ,444 ,141 ,918 ,983 
San Vicente ,559 ,70 ,960 ,935 
Santa Cruz ,677 ,59 ,953 ,846 
Total ,647 ,72 ,943 ,955 
