Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alhue ,& ,7405 ,239 ,3227.5 ,4 ,54.0 ,35 ,472.7 ,35 ,472.7 
Buin ,& ,109641 ,2483 ,2264.7 ,81 ,73.9 ,145 ,132.2 ,144 ,131.3 
Calera de Tango ,,28525 ,586 ,2054.3 ,8 ,28.0 ,14 ,49.1 ,14 ,49.1 
Cerrillos ,& ,88956 ,3112 ,3498.4 ,80 ,89.9 ,70 ,78.7 ,70 ,78.7 
Cerro Navia ,& ,142465 ,6683 ,4691.0 ,257 ,180.4 ,177 ,124.2 ,177 ,124.2 
Colina ,& ,180353 ,4642 ,2573.8 ,111 ,61.5 ,92 ,51.0 ,91 ,50.5 
Conchali ,& ,139195 ,6248 ,4488.7 ,227 ,163.1 ,99 ,71.1 ,98 ,70.4 
Curacavi ,& ,36430 ,909 ,2495.2 ,17 ,46.7 ,33 ,90.6 ,33 ,90.6 
EI Bosque ,& ,172000 ,6502 ,3780.2 ,214 ,124.4 ,104 ,60.5 ,104 ,60.5 
EI Monte ,& ,40014 ,1239 ,3096.4 ,41 ,102.5 ,59 ,147.4 ,59 ,147.4 
Estacion Central ,& ,206792 ,6274 ,3034.0 ,147 ,71.1 ,111 ,53.7 ,111 ,53.7 
Huechuraba ,& ,112528 ,3906 ,3471.1 ,138 ,122.6 ,103 ,91.5 ,103 ,91.5 
Independencia ,& ,142065 ,6530 ,4596.5 ,242 ,170.3 ,123 ,86.6 ,123 ,86.6 
Isla de Maipo ,,40171 ,1100 ,2738.3 ,19 ,47.3 ,93 ,231.5 ,93 ,231.5 
La Cisterna ,& ,100434 ,3253 ,3238.9 ,121 ,120.5 ,70 ,69.7 ,69 ,68.7 
La Florida ,& ,402433 ,13737 ,3413.5 ,472 ,117.3 ,276 ,68.6 ,276 ,68.6 
La Granja ,& ,122557 ,7057 ,5758.1 ,201 ,164.0 ,118 ,96.3 ,118 ,96.3 
La Pintana ,& ,189335 ,10328 ,5454.9 ,314 ,165.8 ,270 ,142.6 ,270 ,142.6 
La Reina ,& ,100252 ,2247 ,2241.4 ,90 ,89.8 ,54 ,53.9 ,54 ,53.9 
Lampa ,& ,126898 ,3587 ,2826.7 ,53 ,41.8 ,111 ,87.5 ,111 ,87.5 
Las Condes ,& ,330759 ,5908 ,1786.2 ,301 ,91.0 ,120 ,36.3 ,119 ,36.0 
Lo Barnechea ,& ,124076 ,3366 ,2712.9 ,72 ,58.0 ,87 ,70.1 ,87 ,70.1 
