Peralillo,11848,2,16.9,1,8.4,O,0.0,0,OO000,0O,O0,020O
Peumo ,14952 ,6 ,40.1 ,2 ,13.4 ,2 ,13.4 ,O ,O O O 1 O ,O O ,O 2 ,1 2 O O 
Pichidegua ,20743 ,8 ,38.6 ,5 ,24.1 ,4 ,19.3 ,0 ,O O O 0 O ,0 O ,O 1 ,2 5 0 0 
Pichilemu ,17882 ,8 ,44.7 ,5 ,28.0 ,5 ,28.0 ,0 ,O O O 0 O ,O O ,O 2 ,1 3 2 O 
Placilla ,9164 ,6 ,65.5 ,2 ,21.8 ,2 ,21.8 ,0 ,O O O 1 0 ,0 O ,O O ,1 4 0 O 
Pumanque ,3531 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O O O O O ,O O ,O O ,0 O 0 O 
Quinta de Tilcoco ,13877 ,2 ,14.4 ,O ,0.0 ,O ,0.0 ,O ,O O 1 O O ,O O ,O O ,0 1 O O 
Rancagua ,265211 ,243 ,91.6 ,94 ,35.4 ,94 ,35.4 ,O ,O O 8 4 6 ,3 7 ,10 24 ,70 97 14 O 
Rengo ,63710 ,27 ,42.4 ,6 ,9.4 ,6 ,9.4 ,O ,O O 1 1 O ,O 4 ,5 2 ,6 7 1 O 
Requinoa ,30371 ,10 ,32.9 ,0 ,0.0 ,O ,0.0 ,O ,O O 2 O O ,O O ,2 O ,4 2 O O 
San Fernando ,78642 ,17 ,21.6 ,5 ,6.4 ,5 ,6.4 ,O ,O O 2 1 1 ,O O ,O 2 ,6 4 1 O 
San Vicente& ,50617 ,40 ,79.0 ,15 ,29.6 ,14 ,27.7 ,O ,O O O 3 1 ,O O ,3 3 ,14 15 1 O 
Santa Cruz ,41096 ,12 ,29.2 ,4 ,9.7 ,4 ,9.7 ,O ,O O O 1 O ,O 1 ,1 O ,4 4 1 O 
,,,,,,,,,20 ,10 ,,
