Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Corral ,5447 ,26 ,477.3 ,0 ,0.0 ,2 ,36.7 ,2 ,36.7 
Futrono ,15261 ,61 ,399.7 ,O ,0.0 ,1 ,6.6 ,1 ,6.6 
La Union ,39538 ,89 ,225.1 ,2 ,5.1 ,7 ,17.7 ,7 ,17.7 
Lago Ranco ,10292 ,7 ,68.0 ,0 ,0.0 ,O ,0.0 ,O ,0.0 
Lanco ,17652 ,27 ,153.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Los Lagos ,20518 ,63 ,307.0 ,1 ,4.9 ,1 ,4.9 ,1 ,4.9 
Mafil ,7389 ,20 ,270.7 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 
Mariquina ,23250 ,21 ,90.3 ,O ,0.0 ,1 ,4.3 ,1 ,4.3 
Paillaco ,20798 ,33 ,158.7 ,1 ,4.8 ,2 ,9.6 ,2 ,9.6 
Panguipulli ,35991 ,63 ,175.0 ,1 ,2.8 ,7 ,19.4 ,7 ,19.4 
Rio Bueno & ,32925 ,29 ,88.1 ,O ,0.0 ,4 ,12.1 ,4 ,12.1 
Valdivia ,176774 ,350 ,198.0 ,6 ,3.4 ,41 ,23.2 ,41 ,23.2 
Desconocido & ,- ,6 ,- ,O ,- ,O ,- ,O ,- 
Total ,405835 ,795 ,195.9 ,11 ,2.7 ,66 ,16.3 ,66 ,16.3 
