Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alto Hospicio ,& 129999 ,2951 ,2270.0 ,51 ,39.2 ,222 ,170.8 ,222 ,170.8 
Camina ,& 1375 ,57 ,4145.5 ,2 ,145.5 ,12 ,872.7 ,12 ,872.7 
Colchane ,& 1583 ,96 ,6064.4 ,3 ,189.5 ,2 ,126.3 ,2 ,126.3 
Huara ,3000 ,148 ,4933.3 ,4 ,133.3 ,12 ,400.0 ,12 ,400.0 
Iquique ,& 223463 ,5512 ,2466.6 ,112 ,50.1 ,373 ,166.9 ,373 ,166.9 
Pica ,5958 ,313 ,5253.4 ,2 ,33.6 ,53 ,889.6 ,53 ,889.6 
Pozo Almonte ,17395 ,850 ,4886.5 ,14 ,80.5 ,81 ,465.7 ,81 ,465.7 
Desconocido ,& - ,427 ,- ,O ,- ,29 ,- ,29 ,- 
Total ,382773 ,10354 ,2705.0 ,188 ,49.1 ,784 ,204.8 ,784 ,204.8 
