Comuna,N,Poblacion,Tasa
Antofagasta ,32 ,425725 ,7.5 
Calama ,- ,190336 ,1.6 
Maria Elena ,- ,6814 ,0.0 
Mejillones ,- ,14776 ,0.0 
Ollague ,- ,287 ,0.0 
San Pedro de Atacama ,- ,10434 ,19.2 
Sierra Gorda ,- ,1746 ,0.0 
Taltal ,- ,13657 ,0.0 
Tocopilla ,- ,28079 ,7.1 
Total ,39 ,691854 ,5.6 
