Peralillo,11848,0,0.0,0,0.0,O,0.0
Peumo ,14952 ,4 ,26.8 ,1 ,6.7 ,1 ,6.7 
Pichidegua ,20743 ,5 ,24.1 ,4 ,19.3 ,4 ,19.3 
Pichilemu ,17882 ,4 ,22.4 ,3 ,16.8 ,3 ,16.8 
Placilla ,9164 ,4 ,43.6 ,3 ,32.7 ,3 ,32.7 
Pumanque ,3531 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Quinta de Tilcoco ,13877 ,2 ,14.4 ,1 ,7.2 ,1 ,7.2 
Rancagua& ,265211 ,170 ,64.1 ,106 ,40.0 ,105 ,39.6 
Rengo& ,63710 ,21 ,33.0 ,8 ,12.6 ,8 ,12.6 
Requinoa ,30371 ,9 ,29.6 ,4 ,13.2 ,4 ,13.2 
San Fernando& ,78642 ,14 ,17.8 ,7 ,8.9 ,7 ,8.9 
San Vicente ,50617 ,25 ,49.4 ,15 ,29.6 ,15 ,29.6 
Santa Cruz ,41096 ,6 ,14.6 ,3 ,7.3 ,3 ,7.3 
Total ,991063 ,423 ,42.7 ,241 ,24.3 ,239 ,24.1 
