Comuna,N,Poblacion,Tasa
Bulnes ,12 ,22607 ,"53,1 "
Chillan ,114 ,198624 ,"57,4 "
Chillan Viejo ,13 ,33827 ,"38,4 "
Cobquecura ,- ,5275 ,"0,0 "
Coelemu ,- ,16845 ,"0,0 "
Coihueco ,- ,28375 ,"10,6 "
EI Carmen ,- ,12334 ,"8,1 "
Ninhue ,- ,5414 ,"0,0 "
Niquen ,- ,11567 ,"0,0 "
Pemuco ,- ,8639 ,"0,0 "
Pinto ,- ,11880 ,"8,4 "
Portezuelo ,- ,4940 ,"0,0 "
Quillon ,4 ,18777 ,"21,3 "
Quirihue ,- ,12192 ,"0,0 "
Ranqui ,- ,6261 ,"0,0 "
San Carlos ,8 ,56252 ,"14,2 "
San Fabian ,- ,4654 ,"64,5 "
San Ignacio ,- ,16624 ,"6,0 "
San Nicolas ,- ,12172 ,"8,2 "
Treguaco ,- ,5696 ,"0,0 "
Yungay ,- ,18596 ,"5,4 "
Total ,162 ,511551 ,"31,7 "
