,SESESESE,SE,SESE,SE,SE,SESE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SESE
Comuna ,9 10 11 12 ,13 ,14 15 ,16 ,17 ,18 19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 34 
Algarrobo ,& 0 O 1 4 ,4 ,O O ,O ,2 ,4 6 ,13 ,10 ,7 ,19 ,20 ,8 ,7 ,2 ,3 ,2 ,O ,O ,O ,O O 
Cabildo ,& O O O 0 ,0 ,O O ,O ,5 ,3 2 ,7 ,7 ,17 ,20 ,40 ,50 ,60 ,39 ,44 ,19 ,10 ,3 ,7 ,3 O 
Calera ,& O O O 1 ,6 ,3 4 ,7 ,2 ,2 7 ,19 ,21 ,23 ,53 ,60 ,84 ,86 ,101 ,97 ,105 ,90 ,72 ,98 ,14 O 
Calle Larga ,& 0 O O O ,1 ,1 3 ,1 ,O ,4 3 ,8 ,29 ,26 ,27 ,24 ,24 ,41 ,20 ,9 ,8 ,12 ,17 ,7 ,8 O 
Cartagena ,& 0 0 O 0 ,0 ,2 O ,1 ,5 ,5 12 ,8 ,17 ,11 ,19 ,20 ,20 ,15 ,18 ,11 ,14 ,10 ,9 ,4 ,2 O 
Casablanca ,& O O O 2 ,O ,1 1 ,O ,O ,O 9 ,9 ,9 ,13 ,24 ,26 ,17 ,26 ,26 ,27 ,26 ,34 ,55 ,55 ,11 O 
Catemu ,& 0 O O 1 ,O ,O O ,O ,O ,1 1 ,7 ,3 ,14 ,15 ,14 ,4 ,19 ,8 ,13 ,9 ,15 ,24 ,25 ,1 0 
Con Con ,& O O O 4 ,4 ,3 1 ,O ,11 ,6 9 ,16 ,19 ,27 ,53 ,45 ,53 ,81 ,75 ,58 ,35 ,15 ,20 ,18 ,5 O 
EI Quisco ,O O O 1 ,O ,4 2 ,4 ,O ,5 9 ,14 ,15 ,15 ,19 ,11 ,8 ,12 ,23 ,9 ,12 ,8 ,6 ,10 ,1 0 
EI Tabo ,& O O O O ,5 ,O 2 ,3 ,3 ,4 7 ,6 ,16 ,26 ,20 ,20 ,23 ,33 ,18 ,9 ,9 ,26 ,17 ,6 ,O O 
Hijuelas ,& O O O O ,O ,O 1 ,O ,O ,O O ,8 ,10 ,14 ,13 ,12 ,20 ,23 ,20 ,30 ,26 ,24 ,29 ,21 ,3 O 
Isla de Pascua ,0 O O 2 ,1 ,2 O ,O ,O ,0 O ,O ,O ,O ,O ,O ,O ,0 ,O ,O ,O ,O ,O ,O ,O O 
Juan Fernandez ,O O O O ,O ,O O ,O ,O ,O O ,O ,O ,O ,O ,0 ,O ,O ,O ,O ,O ,O ,O ,O ,O O 
La Cruz ,& 0 1 O 1 ,2 ,3 1 ,O ,1 ,8 7 ,4 ,5 ,14 ,16 ,10 ,13 ,25 ,17 ,20 ,30 ,38 ,22 ,13 ,4 O 
La Ligua ,& 0 O 0 2 ,0 ,1 O ,0 ,O ,1 3 ,10 ,17 ,27 ,35 ,51 ,30 ,44 ,47 ,46 ,52 ,66 ,52 ,52 ,7 O 
Limache ,& 0 O O 3 ,O ,5 9 ,6 ,1 ,7 25 ,33 ,25 ,36 ,86 ,100 ,105 ,87 ,94 ,63 ,58 ,44 ,50 ,84 ,10 O 
Llaillay ,& 0 O O 1 ,1 ,0 O ,O ,1 ,3 5 ,30 ,23 ,26 ,33 ,22 ,33 ,28 ,31 ,49 ,21 ,25 ,24 ,26 ,1 O 
Los Andes ,& 0 O O 2 ,3 ,0 4 ,0 ,2 ,9 21 ,57 ,85 ,95 ,142 ,111 ,109 ,99 ,88 ,64 ,67 ,52 ,26 ,31 ,3 0 
Nogales ,& 0 O O O ,0 ,O O ,O ,O ,2 4 ,6 ,6 ,7 ,9 ,16 ,19 ,16 ,21 ,21 ,39 ,33 ,27 ,37 ,2 O 
Olmue ,0 O 0 O ,O ,1 1 ,1 ,O ,0 2 ,5 ,11 ,7 ,15 ,22 ,15 ,10 ,21 ,17 ,18 ,16 ,19 ,27 ,1 O 
Panquehue ,0 O O 0 ,O ,O O ,O ,O ,O 4 ,5 ,6 ,4 ,15 ,6 ,10 ,8 ,9 ,17 ,23 ,10 ,O ,2 ,O O 
Papudo ,O O 0 0 ,O ,1 O ,1 ,O ,0 0 ,6 ,4 ,13 ,13 ,14 ,9 ,6 ,6 ,4 ,3 ,8 ,10 ,7 ,1 O 
Petorca ,0 O O 1 ,4 ,1 O ,O ,O ,O 1 ,4 ,5 ,9 ,4 ,5 ,13 ,10 ,10 ,8 ,9 ,9 ,16 ,8 ,1 O 
Puchuncavi ,& O O O O ,O ,O O ,O ,O ,O 4 ,11 ,6 ,8 ,29 ,25 ,24 ,18 ,14 ,11 ,6 ,9 ,10 ,9 ,1 O 
Putaendo ,O O O 1 ,O ,O 1 ,3 ,2 ,2 7 ,7 ,7 ,15 ,30 ,27 ,28 ,26 ,21 ,18 ,6 ,17 ,14 ,7 ,5 O 
Quillota ,& 0 1 0 3 ,7 ,3 8 ,1 ,5 ,3 19 ,22 ,47 ,78 ,197 ,194 ,212 ,204 ,220 ,144 ,117 ,125 ,108 ,98 ,15 0 
