Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alto del Carmen ,5729 ,10 ,174.6 ,O ,0.0 ,2 ,34.9 ,2 ,34.9 
Caldera ,19426 ,53 ,272.8 ,O ,0.0 ,11 ,56.6 ,11 ,56.6 
Chanaral ,13164 ,38 ,288.7 ,O ,0.0 ,13 ,98.8 ,13 ,98.8 
Copiapo ,& 171766 ,1059 ,616.5 ,6 ,3.5 ,240 ,139.7 ,240 ,139.7 
Diego de Almagro ,14358 ,50 ,348.2 ,3 ,20.9 ,10 ,69.6 ,10 ,69.6 
Freirina ,7681 ,46 ,598.9 ,O ,0.0 ,28 ,364.5 ,28 ,364.5 
Huasco ,11264 ,26 ,230.8 ,O ,0.0 ,2 ,17.8 ,2 ,17.8 
Tierra Amarilla ,14312 ,106 ,740.6 ,O ,0.0 ,28 ,195.6 ,28 ,195.6 
Vallenar ,& 57009 ,395 ,692.9 ,O ,0.0 ,72 ,126.3 ,72 ,126.3 
Desconocido ,& - ,13 ,- ,O ,- ,2 ,- ,2 ,- 
Total ,314709 ,1796 ,570.7 ,9 ,2.9 ,408 ,129.6 ,408 ,129.6 
