Grupoedad,Hombre,Mujer
00 04 anos ,3651 ,3349 
05 09 anos ,2966 ,2787 
10 14 anos ,3361 ,3475 
15 19 anos ,5841 ,6604 
20 24 anos ,15259 ,15236 
25 29 anos ,24255 ,23734 
30 34 anos ,24845 ,22140 
35 39 anos ,20473 ,17669 
