Region,Totaldefunciones,Tasaobservada,Tasaajustada
Pais ,11181 ,57.5 ,36.0 
XV Arica y Parinacota ,106 ,42.0 ,282 
Tarapaca ,199 ,52.0 ,45.2 
II Antofagasta ,439 ,63.5 ,582 
III Atacama ,46 ,14.6 ,97 
IV Coquimbo ,130 ,15.5 ,9.3 
V Valparaiso ,682 ,348 ,184 
Region Metropolitana ,8483 ,104.4 ,71.1 
VI O'Higgins ,335 ,33.8 ,19.5 
VII Maule ,261 ,23.1 ,129 
XVI De Nuble ,80 ,15.6 ,7.7 
VII Del Biobio ,204 ,123 ,7.4 
IX Araucania ,94 ,9.3 ,51 
XIV Los Rios ,15 ,3.7 ,2.1 
Los Lagos ,67 ,75 ,44 
XI Aysen ,1 ,0.9 ,11 
XI Magallanes y la Antartica ,38 ,213 ,128 
Ignorada ,1 ,0.0 ,00 
