Penco,49865,21,42.1,1,2.0,1,,
Quilaco ,4179 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 
Quilleco ,10032 ,0 ,0.0 ,0 ,0.0 ,0 ,,
San Pedro de la Paz ,145906 ,112 ,76.8 ,9 ,6.2 ,9 ,6.2 ,0 0 6 
San Rosendo ,3611 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 
Santa Barbara ,14592 ,2 ,13.7 ,0 ,0.0 ,0 ,0.0 ,0 0 0 
Santa Juana ,14779 ,2 ,13.5 ,0 ,0.0 ,0 ,0.0 ,0 0 0 
Talcahuano ,158345 ,127 ,80.2 ,27 ,17.1 ,27 ,,
Tirua ,11019 ,4 ,36.3 ,0 ,0.0 ,0 ,0.0 ,0 0 0 
Tome ,58729 ,63 ,107.3 ,14 ,23.8 ,14 ,,
Tucapel ,15205 ,1 ,6.6 ,0 ,0.0 ,0 ,,
Yumbel& ,22132 ,14 ,63.3 ,6 ,27.1 ,6 ,,
Total ,1663696 ,930 ,55.9 ,187 ,11.2 ,187 ,11.2 ,1 2 28 
